wavelength_nm,n,k
300,3.7313333333333336,2.0023333333333335
301,3.7149444444444444,1.9884444444444445
302,3.6985555555555556,1.9745555555555554
303,3.684815789473684,1.9651315789473685
304,3.672842105263158,1.9586842105263158
305,3.6608684210526317,1.9522368421052632
306,3.6488947368421054,1.9457894736842105
307,3.6369210526315787,1.9393421052631579
308,3.6249473684210525,1.9328947368421052
309,3.6129736842105262,1.9264473684210526
310,3.601,1.92
311,3.5930253164556962,1.9179746835443037
312,3.5850506329113925,1.9159493670886076
313,3.5770759493670887,1.9139240506329114
314,3.569101265822785,1.9118987341772151
315,3.5611265822784812,1.9098734177215189
316,3.5531518987341775,1.9078481012658228
317,3.5451772151898733,1.9058227848101266
318,3.5375595238095237,1.9040595238095237
319,3.5331547619047616,1.9046547619047618
320,3.52875,1.9052499999999999
321,3.524345238095238,1.905845238095238
322,3.519940476190476,1.906440476190476
323,3.515535714285714,1.9070357142857144
324,3.511130952380952,1.9076309523809525
325,3.5067261904761904,1.9082261904761906
326,3.5023214285714284,1.9088214285714287
327,3.4997272727272724,1.9107500000000002
328,3.497909090909091,1.9132500000000001
329,3.496090909090909,1.91575
330,3.494272727272727,1.91825
331,3.4924545454545455,1.92075
332,3.4906363636363635,1.9232500000000001
333,3.4888181818181816,1.92575
334,3.487,1.92825
335,3.485181818181818,1.93075
336,3.4859677419354838,1.9342903225806451
337,3.487043010752688,1.9379462365591398
338,3.4881182795698926,1.9416021505376344
339,3.489193548387097,1.945258064516129
340,3.490268817204301,1.9489139784946237
341,3.4913440860215053,1.9525698924731183
342,3.49241935483871,1.956225806451613
343,3.493494623655914,1.9598817204301076
344,3.4945698924731183,1.9635376344086024
345,3.497204081632653,1.9679387755102042
346,3.5008775510204084,1.9728367346938778
347,3.5045510204081634,1.977734693877551
348,3.5082244897959187,1.9826326530612246
349,3.5118979591836736,1.9875306122448981
350,3.5155714285714286,1.9924285714285714
351,3.519244897959184,1.997326530612245
352,3.522918367346939,2.0022244897959185
353,3.5265918367346942,2.007122448979592
354,3.530265306122449,2.012020408163265
355,3.535952380952381,2.0178
356,3.5421428571428573,2.0238
357,3.5483333333333333,2.0298
358,3.5545238095238094,2.0358
359,3.560714285714286,2.0418
360,3.566904761904762,2.0478
361,3.573095238095238,2.0538
362,3.579285714285714,2.0597999999999996
363,3.5854761904761903,2.0658
364,3.5916666666666663,2.0717999999999996
365,3.599081818181818,2.0783454545454543
366,3.6093545454545453,2.086163636363636
367,3.6196272727272722,2.093981818181818
368,3.6298999999999997,2.1018
369,3.640172727272727,2.1096181818181816
370,3.6504454545454545,2.1174363636363633
371,3.660718181818182,2.1252545454545455
372,3.670990909090909,2.1330727272727272
373,3.6812636363636364,2.140890909090909
374,3.691536363636364,2.1487090909090907
375,3.7018090909090913,2.156527272727273
376,3.7148220338983053,2.1652033898305083
377,3.7342288135593225,2.175881355932203
378,3.753635593220339,2.186559322033898
379,3.7730423728813562,2.197237288135593
380,3.792449152542373,2.207915254237288
381,3.81185593220339,2.218593220338983
382,3.831262711864407,2.229271186440678
383,3.850669491525424,2.2399491525423727
384,3.870076271186441,2.2506271186440676
385,3.889483050847458,2.2613050847457625
386,3.9088898305084747,2.2719830508474574
387,3.928296610169492,2.2826610169491524
388,3.9555403225806454,2.282274193548387
389,3.9906209677419358,2.270822580645161
390,4.025701612903227,2.259370967741935
391,4.060782258064517,2.2479193548387095
392,4.095862903225807,2.2364677419354835
393,4.130943548387098,2.225016129032258
394,4.166024193548388,2.213564516129032
395,4.2011048387096785,2.202112903225806
396,4.236185483870969,2.19066129032258
397,4.271266129032259,2.1792096774193546
398,4.30634677419355,2.1677580645161285
399,4.34142741935484,2.156306451612903
400,4.374014925373134,2.144522388059701
401,4.384164179104478,2.129746268656716
402,4.394313432835821,2.114970149253731
403,4.4044626865671646,2.100194029850746
404,4.414611940298508,2.085417910447761
405,4.424761194029851,2.070641791044776
406,4.434910447761195,2.055865671641791
407,4.4450597014925375,2.0410895522388057
408,4.455208955223881,2.026313432835821
409,4.465358208955224,2.011537313432836
410,4.475507462686568,1.9967611940298506
411,4.48565671641791,1.9819850746268657
412,4.495805970149254,1.9672089552238807
413,4.505955223880597,1.9524328358208956
414,4.5357676056338025,1.9368098591549296
