wavelength_nm,n,k
300,3.827666666666667,3.7456666666666667
301,3.8448888888888892,3.690805555555555
302,3.8621111111111115,3.6359444444444433
303,3.871842105263158,3.5920526315789463
304,3.8765789473684213,3.5554736842105257
305,3.8813157894736845,3.5188947368421046
306,3.8860526315789476,3.4823157894736836
307,3.8907894736842104,3.4457368421052625
308,3.8955263157894735,3.409157894736842
309,3.9002631578947367,3.372578947368421
310,3.905,3.336
311,3.906898734177215,3.3108101265822785
312,3.90879746835443,3.285620253164557
313,3.9106962025316454,3.2604303797468357
314,3.9125949367088606,3.2352405063291143
315,3.914493670886076,3.210050632911393
316,3.916392405063291,3.1848607594936715
317,3.918291139240506,3.15967088607595
318,3.9201904761904762,3.1352023809523817
319,3.922095238095238,3.117226190476191
320,3.924,3.0992500000000005
321,3.925904761904762,3.0812738095238097
322,3.9278095238095236,3.063297619047619
323,3.9297142857142857,3.0453214285714285
324,3.931619047619048,3.0273452380952377
325,3.9335238095238094,3.0093690476190473
326,3.9354285714285715,2.9913928571428565
327,3.93775,2.9762159090909086
328,3.9402500000000003,2.962238636363636
329,3.94275,2.9482613636363633
330,3.94525,2.934284090909091
331,3.94775,2.9203068181818184
332,3.95025,2.9063295454545455
333,3.95275,2.892352272727273
334,3.95525,2.878375
335,3.9577500000000003,2.8643977272727277
336,3.9606129032258064,2.8529354838709677
337,3.963516129032258,2.841752688172043
338,3.9664193548387097,2.830569892473118
339,3.9693225806451613,2.8193870967741934
340,3.972225806451613,2.8082043010752686
341,3.9751290322580646,2.797021505376344
342,3.978032258064516,2.785838709677419
343,3.980935483870968,2.7746559139784943
344,3.9838387096774195,2.7634731182795695
345,3.987142857142857,2.7533673469387754
346,3.9907142857142857,2.7439795918367342
347,3.994285714285714,2.7345918367346935
348,3.9978571428571428,2.725204081632653
349,4.001428571428571,2.715816326530612
350,4.005,2.706428571428571
351,4.008571428571428,2.6970408163265303
352,4.012142857142857,2.6876530612244895
353,4.015714285714285,2.678265306122449
354,4.019285714285714,2.6688775510204077
355,4.023809523809524,2.660295238095238
356,4.0285714285714285,2.6519142857142857
357,4.033333333333333,2.643533333333333
358,4.038095238095238,2.635152380952381
359,4.042857142857143,2.6267714285714288
360,4.0476190476190474,2.618390476190476
361,4.052380952380952,2.610009523809524
362,4.057142857142857,2.601628571428572
363,4.061904761904762,2.5932476190476192
364,4.066666666666666,2.584866666666667
365,4.071581818181818,2.5760000000000005
366,4.0768545454545455,2.5660000000000007
367,4.082127272727273,2.5560000000000005
368,4.0874,2.5460000000000003
369,4.092672727272728,2.5360000000000005
370,4.097945454545455,2.5260000000000002
371,4.103218181818182,2.516
372,4.108490909090909,2.5060000000000002
373,4.113763636363636,2.496
374,4.119036363636364,2.4859999999999998
375,4.124309090909091,2.476
376,4.128737288135594,2.4657203389830507
377,4.1311949152542375,2.45478813559322
378,4.133652542372881,2.4438559322033897
379,4.136110169491525,2.432923728813559
380,4.13856779661017,2.4219915254237288
381,4.141025423728814,2.411059322033898
382,4.143483050847458,2.400127118644068
383,4.145940677966101,2.389194915254237
384,4.148398305084746,2.3782627118644064
385,4.15085593220339,2.367330508474576
386,4.153313559322034,2.3563983050847455
387,4.155771186440678,2.345466101694915
388,4.156354838709677,2.334959677419355
389,4.155064516129032,2.3248790322580644
390,4.153774193548387,2.314798387096774
391,4.152483870967742,2.304717741935484
392,4.151193548387097,2.2946370967741934
393,4.149903225806452,2.284556451612903
394,4.148612903225806,2.274475806451613
395,4.147322580645161,2.2643951612903224
396,4.146032258064516,2.254314516129032
