wavelength_nm,n,k
300,3.2223333333333333,1.744
301,3.211361111111111,1.74025
302,3.200388888888889,1.7365
303,3.191657894736842,1.7346052631578948
304,3.184421052631579,1.7339473684210527
305,3.177184210526316,1.7332894736842106
306,3.169947368421053,1.7326315789473685
307,3.1627105263157893,1.7319736842105264
308,3.155473684210526,1.7313157894736841
309,3.148236842105263,1.730657894736842
310,3.141,1.73
311,3.1368227848101267,1.7317721518987341
312,3.1326455696202533,1.7335443037974683
313,3.12846835443038,1.7353164556962024
314,3.1242911392405066,1.7370886075949368
315,3.1201139240506333,1.738860759493671
316,3.1159367088607595,1.740632911392405
317,3.111759493670886,1.7424050632911392
318,3.1078452380952384,1.744345238095238
319,3.106297619047619,1.747797619047619
320,3.10475,1.75125
321,3.103202380952381,1.754702380952381
322,3.101654761904762,1.758154761904762
323,3.100107142857143,1.761607142857143
324,3.098559523809524,1.765059523809524
325,3.0970119047619047,1.768511904761905
326,3.095464285714286,1.7719642857142859
327,3.095636363636364,1.7764204545454547
328,3.096545454545455,1.7813068181818184
329,3.0974545454545455,1.786193181818182
330,3.0983636363636364,1.7910795454545456
331,3.0992727272727274,1.795965909090909
332,3.1001818181818184,1.8008522727272727
333,3.1010909090909093,1.8057386363636363
334,3.1020000000000003,1.810625
335,3.1029090909090913,1.8155113636363636
336,3.105903225806452,1.8214193548387096
337,3.1091290322580645,1.8274408602150538
338,3.1123548387096776,1.833462365591398
339,3.1155806451612906,1.839483870967742
340,3.1188064516129033,1.845505376344086
341,3.1220322580645163,1.8515268817204302
342,3.125258064516129,1.8575483870967744
343,3.128483870967742,1.8635698924731185
344,3.131709677419355,1.8695913978494625
345,3.1366734693877554,1.87665306122449
346,3.142795918367347,1.8844081632653065
347,3.1489183673469388,1.8921632653061227
348,3.155040816326531,1.8999183673469389
349,3.1611632653061226,1.9076734693877553
350,3.1672857142857143,1.9154285714285715
351,3.1734081632653064,1.923183673469388
352,3.179530612244898,1.930938775510204
353,3.1856530612244898,1.9386938775510205
354,3.191775510204082,1.9464489795918367
355,3.2010761904761904,1.9565333333333335
356,3.211171428571429,1.9672
357,3.2212666666666667,1.9778666666666667
358,3.2313619047619047,1.9885333333333333
359,3.2414571428571426,1.9991999999999999
360,3.2515523809523805,2.0098666666666665
361,3.261647619047619,2.020533333333333
362,3.271742857142857,2.0311999999999997
363,3.2818380952380948,2.0418666666666665
364,3.2919333333333327,2.052533333333333
365,3.3065545454545444,2.064063636363636
366,3.3317363636363626,2.0776090909090903
367,3.356918181818181,2.091154545454545
368,3.3820999999999994,2.1047
369,3.4072818181818176,2.118245454545454
370,3.432463636363636,2.131790909090909
371,3.457645454545454,2.1453363636363636
372,3.4828272727272727,2.1588818181818183
373,3.508009090909091,2.1724272727272727
374,3.533190909090909,2.1859727272727274
375,3.5583727272727277,2.199518181818182
376,3.5861694915254243,2.207322033898305
377,3.62006779661017,2.201728813559322
378,3.6539661016949156,2.196135593220339
379,3.6878644067796613,2.190542372881356
380,3.721762711864407,2.184949152542373
381,3.7556610169491527,2.1793559322033897
382,3.7895593220338983,2.1737627118644065
383,3.823457627118644,2.1681694915254237
384,3.85735593220339,2.1625762711864405
385,3.891254237288136,2.1569830508474577
386,3.9251525423728815,2.1513898305084744
387,3.959050847457627,2.145796610169491
388,3.9937016129032257,2.126548387096774
389,4.029104838709677,2.0936451612903224
390,4.064508064516129,2.0607419354838705
391,4.099911290322581,2.027838709677419
392,4.135314516129032,1.9949354838709674
393,4.170717741935484,1.9620322580645158
394,4.206120967741936,1.929129032258064
395,4.241524193548387,1.8962258064516124
396,4.276927419354839,1.8633225806451608
397,4.312330645161291,1.830419354838709
398,4.347733870967742,1.7975161290322574
399,4.3831370967741945,1.7646129032258058
400,4.414850746268657,1.731358208955223
401,4.4133582089552235,1.694940298507462
402,4.411865671641791,1.6585223880597009
403,4.410373134328358,1.6221044776119398
404,4.408880597014925,1.5856865671641787
405,4.407388059701493,1.5492686567164176
406,4.405895522388059,1.5128507462686565
407,4.4044029850746265,1.4764328358208954
408,4.402910447761194,1.4400149253731342
409,4.401417910447761,1.4035970149253731
410,4.399925373134328,1.367179104477612
