wavelength_nm,n,k
300,4.976,4.234
301,4.9905,4.1704
302,5.005,4.1068
303,5.0195,4.0432
304,5.034,3.9796
305,5.048500000000001,3.916
306,5.063000000000001,3.8524
307,5.077500000000001,3.7887999999999997
308,5.0920000000000005,3.7252
309,5.1065000000000005,3.6616
310,5.121,3.598
311,5.120100000000001,3.5685
312,5.1192,3.5389999999999997
313,5.1183000000000005,3.5095
314,5.1174,3.48
315,5.1165,3.4505
316,5.115600000000001,3.421
317,5.1147,3.3914999999999997
318,5.1138,3.362
319,5.1129,3.3325
320,5.112,3.303
321,5.1203,3.2827
322,5.1286000000000005,3.2624
323,5.1369,3.2420999999999998
324,5.1452,3.2218
325,5.1535,3.2015000000000002
326,5.1618,3.1812
327,5.170100000000001,3.1609
328,5.1784,3.1406
329,5.1867,3.1203000000000003
330,5.195,3.1
331,5.2056000000000004,3.0877
332,5.216200000000001,3.0754
333,5.2268,3.0631
334,5.2374,3.0508
335,5.248,3.0385
336,5.2586,3.0262
337,5.2692000000000005,3.0139
338,5.2798,3.0016
339,5.2904,2.9893
340,5.301,2.977
341,5.3203000000000005,2.9731
342,5.3396,2.9692
343,5.3589,2.9653
344,5.3782,2.9614
345,5.3975,2.9575
346,5.4168,2.9536000000000002
347,5.4361,2.9497
348,5.4554,2.9458
349,5.4746999999999995,2.9419
350,5.494,2.938
351,5.5472,2.9408000000000003
352,5.6004,2.9436
353,5.6536,2.9464
354,5.706799999999999,2.9492000000000003
355,5.76,2.952
356,5.8132,2.9548
357,5.8664,2.9576000000000002
358,5.9196,2.9604000000000004
359,5.972799999999999,2.9632
360,6.026,2.966
361,6.1125,2.8865000000000003
362,6.199,2.807
363,6.2855,2.7275
364,6.372,2.648
365,6.4585,2.5685000000000002
366,6.545,2.489
367,6.6315,2.4095
368,6.718,2.33
369,6.8045,2.2504999999999997
370,6.891,2.171
371,6.8635,2.0484999999999998
372,6.836,1.926
373,6.8084999999999996,1.8034999999999999
374,6.781,1.6809999999999998
375,6.7535,1.5585
376,6.726,1.436
377,6.6985,1.3135
378,6.670999999999999,1.1909999999999998
379,6.6434999999999995,1.0685
380,6.616,0.946
381,6.5583,0.8958999999999999
382,6.5005999999999995,0.8458
383,6.4429,0.7957
384,6.385199999999999,0.7456
385,6.3275,0.6955
386,6.2698,0.6454
387,6.2120999999999995,0.5952999999999999
388,6.1544,0.5452
389,6.096699999999999,0.49510000000000004
390,6.039,0.445
391,5.9963999999999995,0.4301
392,5.9538,0.4152
393,5.9112,0.4003
394,5.8686,0.3854
395,5.8260000000000005,0.3705
396,5.7834,0.3556
397,5.7408,0.3407
398,5.6982,0.3258
399,5.655600000000001,0.31089999999999995
400,5.613,0.296
401,5.584700000000001,0.28909999999999997
402,5.5564,0.2822
403,5.5281,0.2753
404,5.4998000000000005,0.26839999999999997
405,5.471500000000001,0.2615
406,5.4432,0.2546
407,5.4149,0.2477
408,5.3866000000000005,0.24080000000000001
409,5.3583,0.2339
410,5.33,0.227
411,5.3089,0.22190000000000001
412,5.2878,0.2168
413,5.2667,0.2117
414,5.2456,0.2066
415,5.2245,0.2015
416,5.2034,0.1964
417,5.1823,0.1913
418,5.1612,0.18619999999999998
419,5.1400999999999994,0.18109999999999998
420,5.119,0.176
421,5.101999999999999,0.1722
422,5.085,0.1684
423,5.068,0.1646
424,5.051,0.1608
425,5.034,0.157
426,5.0169999999999995,0.1532
427,5.0,0.1494
428,4.983,0.1456
429,4.966,0.1418
430,4.949,0.138
431,4.9353,0.13490000000000002
432,4.9216,0.1318
433,4.9079,0.1287
434,4.8942,0.12560000000000002
435,4.8805,0.1225
436,4.8668000000000005,0.1194
437,4.8531,0.1163
438,4.8394,0.1132
439,4.8257,0.1101
440,4.812,0.107
441,4.7999,0.1049302
442,4.7878,0.1028604
443,4.7757000000000005,0.1007906
444,4.7636,0.0987208
445,4.7515,0.096651
446,4.7394,0.0945812
447,4.7273,0.09251140000000001
448,4.7152,0.09044160000000001
449,4.7031,0.0883718
450,4.691,0.086302
451,4.6806,0.08480990000000001
452,4.6701999999999995,0.0833178
453,4.6598,0.0818257
454,4.6494,0.0803336
455,4.638999999999999,0.07884150000000001
456,4.6286,0.0773494
457,4.6182,0.0758573
458,4.6078,0.0743652
459,4.5973999999999995,0.0728731
460,4.587,0.071381
461,4.577999999999999,0.0704515
462,4.569,0.069522
463,4.56,0.0685925
464,4.551,0.067663
465,4.542,0.0667335
466,4.5329999999999995,0.065804
467,4.524,0.0648745
468,4.515,0.063945
469,4.506,0.0630155
470,4.497,0.062086
471,4.4892,0.0613778
472,4.4814,0.060669600000000004
473,4.473599999999999,0.0599614
474,4.4658,0.0592532
475,4.458,0.058545
476,4.4502,0.0578368
477,4.442399999999999,0.0571286
478,4.4346,0.056420399999999996
479,4.4268,0.055712199999999996
480,4.419,0.055004
481,4.4121,0.0544167
482,4.4052,0.0538294
483,4.3983,0.0532421
484,4.3914,0.0526548
485,4.384499999999999,0.0520675
486,4.377599999999999,0.0514802
487,4.370699999999999,0.0508929
488,4.3637999999999995,0.0503056
489,4.3568999999999996,0.0497183
490,4.35,0.049131
491,4.344399999999999,0.0486344
492,4.3388,0.0481378
493,4.3332,0.0476412
494,4.3275999999999994,0.0471446
495,4.321999999999999,0.046648
496,4.3164,0.0461514
497,4.3107999999999995,0.0456548
498,4.305199999999999,0.0451582
499,4.2996,0.0446616
500,4.294,0.044165
501,4.2886999999999995,0.0436852
502,4.283399999999999,0.043205400000000005
503,4.278099999999999,0.0427256
504,4.272799999999999,0.0422458
505,4.2675,0.041766
506,4.2622,0.0412862
507,4.2569,0.0408064
508,4.2516,0.0403266
509,4.2463,0.0398468
510,4.241,0.039367
511,4.236199999999999,0.0390718
512,4.2314,0.0387766
513,4.2265999999999995,0.0384814
514,4.2218,0.038186200000000003
515,4.217,0.037891
516,4.212199999999999,0.0375958
517,4.2074,0.0373006
518,4.2025999999999994,0.0370054
519,4.1978,0.036710200000000005
520,4.193,0.036415
521,4.1888,0.0360843
522,4.1846,0.0357536
523,4.1804,0.0354229
524,4.1762,0.035092200000000004
525,4.172,0.0347615
526,4.1678,0.0344308
527,4.1636,0.0341001
528,4.1594,0.0337694
529,4.1552,0.0334387
530,4.151,0.033108
531,4.1471,0.0328267
532,4.1432,0.0325454
533,4.1392999999999995,0.0322641
534,4.1354,0.0319828
535,4.1315,0.0317015
536,4.1276,0.031420199999999995
537,4.1237,0.031138899999999997
538,4.1198,0.0308576
539,4.1159,0.0305763
540,4.112,0.030295
541,4.1085,0.0300623
542,4.105,0.029829599999999998
543,4.1015,0.0295969
544,4.098,0.0293642
545,4.0945,0.029131499999999998
546,4.091,0.0288988
547,4.0875,0.0286661
548,4.084,0.0284334
549,4.0805,0.0282007
550,4.077,0.027968
551,4.0738,0.027747
552,4.0706,0.027526
553,4.0674,0.027305
554,4.0642,0.027084
555,4.061,0.026862999999999998
556,4.0578,0.026642
557,4.0546,0.026421
558,4.0514,0.0262
559,4.0482,0.025979
560,4.045,0.025758
561,4.042,0.0255953
562,4.039,0.0254326
563,4.036,0.025269899999999998
564,4.0329999999999995,0.0251072
565,4.029999999999999,0.0249445
566,4.027,0.0247818
567,4.024,0.024619099999999998
568,4.021,0.0244564
569,4.018,0.0242937
570,4.015,0.024131
571,4.0123,0.0239703
572,4.0096,0.0238096
573,4.0069,0.0236489
574,4.0042,0.0234882
575,4.0015,0.0233275
576,3.9987999999999997,0.023166799999999998
577,3.9960999999999998,0.023006099999999998
578,3.9934,0.0228454
579,3.9907,0.0226847
580,3.988,0.022524
581,3.9855,0.0223797
582,3.983,0.0222354
583,3.9805,0.0220911
584,3.978,0.0219468
585,3.9755000000000003,0.0218025
586,3.973,0.0216582
587,3.9705,0.0215139
588,3.968,0.0213696
589,3.9655,0.0212253
590,3.963,0.021081
591,3.9607,0.0209663
592,3.9584,0.020851599999999998
593,3.9561,0.0207369
594,3.9538,0.0206222
595,3.9515000000000002,0.020507499999999998
596,3.9492,0.0203928
597,3.9469,0.0202781
598,3.9446,0.0201634
599,3.9423,0.0200487
600,3.94,0.019934
601,3.9378,0.0197852
602,3.9356,0.019636400000000002
603,3.9334,0.0194876
604,3.9312,0.0193388
605,3.9290000000000003,0.01919
606,3.9268,0.0190412
607,3.9246,0.0188924
608,3.9224,0.0187436
609,3.9202000000000004,0.0185948
610,3.918,0.018446
611,3.9160000000000004,0.0183381
612,3.914,0.018230200000000002
613,3.912,0.0181223
614,3.91,0.0180144
615,3.9080000000000004,0.0179065
616,3.906,0.0177986
617,3.904,0.0176907
618,3.902,0.0175828
619,3.9000000000000004,0.0174749
620,3.898,0.017367
621,3.8961,0.0172747
622,3.8942,0.0171824
623,3.8923,0.0170901
624,3.8904,0.0169978
625,3.8885,0.0169055
626,3.8866,0.0168132
627,3.8847,0.0167209
628,3.8828,0.0166286
629,3.8809,0.0165363
630,3.879,0.016444
631,3.8772,0.0163428
632,3.8754,0.016241600000000002
633,3.8736,0.0161404
634,3.8718,0.0160392
635,3.87,0.015938
636,3.8682000000000003,0.015836799999999998
637,3.8664,0.0157356
638,3.8646000000000003,0.0156344
639,3.8628,0.0155332
640,3.861,0.015432
641,3.8593,0.015331899999999999
642,3.8576,0.0152318
643,3.8559,0.0151317
644,3.8542,0.015031599999999999
645,3.8525,0.0149315
646,3.8508,0.0148314
647,3.8491,0.0147313
648,3.8474,0.014631199999999999
649,3.8457,0.0145311
650,3.844,0.014431
651,3.8424,0.0143377
652,3.8407999999999998,0.014244399999999999
653,3.8392,0.0141511
654,3.8375999999999997,0.014057799999999999
655,3.836,0.0139645
656,3.8344,0.0138712
657,3.8327999999999998,0.0137779
658,3.8312,0.0136846
659,3.8295999999999997,0.013591299999999999
660,3.828,0.013498
661,3.8265,0.0134225
662,3.8249999999999997,0.013347
663,3.8235,0.0132715
664,3.822,0.013196
665,3.8205,0.0131205
666,3.819,0.013045000000000001
667,3.8175,0.0129695
668,3.8160000000000003,0.012894000000000001
669,3.8145000000000002,0.0128185
