wavelength_nm,n,k
300,1.4877929755577788,0.0
301,1.4875125316194795,0.0
302,1.4872352916623932,0.0
303,1.4869612047285783,0.0
304,1.486690220901439,0.0
305,1.4864222912795144,0.0
306,1.4861573679510542,0.0
307,1.4858954039693553,0.0
308,1.485636353328832,0.0
309,1.48538017094179,0.0
310,1.4851268126158896,0.0
311,1.4848762350322642,0.0
312,1.4846283957242783,0.0
313,1.4843832530569017,0.0
314,1.484140766206677,0.0
315,1.4839008951422648,0.0
316,1.4836636006055421,0.0
317,1.48342884409324,0.0
318,1.4831965878391007,0.0
319,1.4829667947965357,0.0
320,1.4827394286217723,0.0
321,1.482514453657468,0.0
322,1.482291834916782,0.0
323,1.4820715380678844,0.0
324,1.481853529418895,0.0
325,1.4816377759032306,0.0
326,1.4814242450653552,0.0
327,1.4812129050469138,0.0
328,1.4810037245732435,0.0
329,1.4807966729402442,0.0
330,1.4805917200016052,0.0
331,1.480388836156367,0.0
332,1.480187992336816,0.0
333,1.4799891599966992,0.0
334,1.4797923110997477,0.0
335,1.4795974181085005,0.0
336,1.4794044539734208,0.0
337,1.4792133921222932,0.0
338,1.4790242064498964,0.0
339,1.4788368713079405,0.0
340,1.478651361495263,0.0
341,1.478467652248274,0.0
342,1.4782857192316445,0.0
343,1.4781055385292305,0.0
344,1.4779270866352254,0.0
345,1.4777503404455348,0.0
346,1.4775752772493653,0.0
347,1.4774018747210254,0.0
348,1.477230110911926,0.0
349,1.4770599642427806,0.0
350,1.476891413495998,0.0
351,1.4767244378082571,0.0
352,1.4765590166632678,0.0
353,1.4763951298847033,0.0
354,1.4762327576293073,0.0
355,1.4760718803801622,0.0
356,1.4759124789401246,0.0
357,1.4757545344254126,0.0
358,1.4755980282593488,0.0
359,1.4754429421662507,0.0
360,1.4752892581654646,0.0
361,1.4751369585655405,0.0
362,1.4749860259585448,0.0
363,1.4748364432145025,0.0
364,1.474688193475973,0.0
365,1.4745412601527468,0.0
366,1.474395626916668,0.0
367,1.4742512776965753,0.0
368,1.4741081966733562,0.0
369,1.4739663682751194,0.0
370,1.4738257771724703,0.0
371,1.4736864082738992,0.0
372,1.4735482467212697,0.0
373,1.473411277885411,0.0
374,1.473275487361808,0.0
375,1.4731408609663867,0.0
376,1.473007384731395,0.0
377,1.472875044901373,0.0
378,1.4727438279292142,0.0
379,1.4726137204723115,0.0
380,1.4724847093887885,0.0
381,1.472356781733814,0.0
382,1.4722299247559938,0.0
383,1.4721041258938448,0.0
384,1.471979372772342,0.0
385,1.4718556531995413,0.0
386,1.4717329551632743,0.0
387,1.4716112668279144,0.0
388,1.4714905765312112,0.0
389,1.4713708727811918,0.0
390,1.4712521442531288,0.0
391,1.4711343797865712,0.0
392,1.4710175683824387,0.0
393,1.4709016992001755,0.0
394,1.4707867615549648,0.0
395,1.4706727449150006,0.0
396,1.470559638898816,0.0
397,1.4704474332726676,0.0
398,1.4703361179479724,0.0
399,1.470225682978798,0.0
400,1.4701161185594052,0.0
401,1.4700074150218383,0.0
402,1.4698995628335665,0.0
403,1.4697925525951723,0.0
404,1.4696863750380866,0.0
405,1.4695810210223692,0.0
406,1.4694764815345351,0.0
407,1.4693727476854217,0.0
408,1.4692698107081008,0.0
409,1.4691676619558314,0.0
410,1.4690662929000524,0.0
411,1.4689656951284173,0.0
412,1.4688658603428633,0.0
413,1.4687667803577222,0.0
414,1.4686684470978675,0.0
415,1.468570852596895,0.0
416,1.4684739889953422,0.0
417,1.468377848538941,0.0
418,1.4682824235769023,0.0
419,1.4681877065602371,0.0
420,1.4680936900401065,0.0
421,1.4680003666662056,0.0
422,1.4679077291851765,0.0
423,1.467815770439054,0.0
424,1.4677244833637362,0.0
425,1.467633860987491,0.0
426,1.4675438964294831,0.0
427,1.467454582898334,0.0
428,1.4673659136907073,0.0
429,1.4672778821899197,0.0
430,1.4671904818645791,0.0
431,1.4671037062672474,0.0
432,1.4670175490331279,0.0
433,1.4669320038787776,0.0
434,1.4668470646008425,0.0
435,1.4667627250748163,0.0
436,1.4666789792538217,0.0
437,1.4665958211674148,0.0
438,1.4665132449204101,0.0
439,1.4664312446917278,0.0
440,1.4663498147332605,0.0
441,1.4662689493687624,0.0
442,1.4661886429927569,0.0
443,1.4661088900694639,0.0
444,1.4660296851317476,0.0
445,1.4659510227800812,0.0
446,1.4658728976815316,0.0
447,1.4657953045687615,0.0
448,1.4657182382390481,0.0
449,1.4656416935533214,0.0
450,1.4655656654352176,0.0
451,1.4654901488701493,0.0
452,1.465415138904393,0.0
453,1.4653406306441907,0.0
454,1.4652666192548693,0.0
455,1.4651930999599743,0.0
456,1.4651200680404173,0.0
457,1.46504751883364,0.0
458,1.4649754477327923,0.0
459,1.4649038501859224,0.0
460,1.4648327216951849,0.0
461,1.4647620578160583,0.0
462,1.4646918541565774,0.0
463,1.4646221063765796,0.0
464,1.4645528101869631,0.0
465,1.4644839613489569,0.0
466,1.464415555673404,0.0
467,1.4643475890200583,0.0
468,1.4642800572968893,0.0
469,1.4642129564594009,0.0
470,1.4641462825099625,0.0
471,1.464080031497149,0.0
472,1.4640141995150933,0.0
473,1.4639487827028481,0.0
474,1.4638837772437603,0.0
475,1.4638191793648527,0.0
476,1.4637549853362195,0.0
477,1.4636911914704285,0.0
478,1.4636277941219344,0.0
479,1.4635647896865032,0.0
480,1.4635021746006414,0.0
481,1.4634399453410398,0.0
482,1.4633780984240232,0.0
483,1.463316630405009,0.0
484,1.4632555378779764,0.0
485,1.4631948174749414,0.0
486,1.463134465865443,0.0
487,1.463074479756035,0.0
488,1.4630148558897884,0.0
489,1.462955591045799,0.0
490,1.4628966820387057,0.0
491,1.462838125718214,0.0
492,1.4627799189686281,0.0
493,1.4627220587083904,0.0
494,1.462664541889628,0.0
495,1.4626073654977063,0.0
496,1.4625505265507894,0.0
497,1.4624940220994078,0.0
498,1.4624378492260326,0.0
499,1.4623820050446559,0.0
500,1.4623264867003778,0.0
