wavelengths,model,MSE,RMSE,MAE,R2
501,Linear Regression,18002.054,134.1717,89.3372,-61.599543
501,Random Forest,3.2719,1.8088,1.1987,0.988622
501,MLP,1.6321,1.2775,0.9148,0.994325
495,Linear Regression,17421.8189,131.9917,88.5036,-59.58186
495,Random Forest,3.3169,1.8212,1.208,0.988466
495,MLP,2.221,1.4903,1.0483,0.992277
490,Linear Regression,22333.9978,149.4456,103.468,-76.663252
490,Random Forest,3.147,1.774,1.1392,0.989057
490,MLP,5.1238,2.2636,1.706,0.982183
485,Linear Regression,18294.6897,135.2579,87.0357,-62.617142
485,Random Forest,2.9187,1.7084,1.1218,0.989851
485,MLP,26.0971,5.1085,3.995,0.909251
480,Linear Regression,17352.4133,131.7286,89.6992,-59.340511
480,Random Forest,3.0503,1.7465,1.1482,0.989393
480,MLP,2.7235,1.6503,1.1985,0.990529
475,Linear Regression,19442.3449,139.4358,88.7833,-66.607947
475,Random Forest,3.0409,1.7438,1.1382,0.989426
475,MLP,1.7612,1.3271,0.9038,0.993876
470,Linear Regression,21691.5792,147.2806,95.6086,-74.429334
470,Random Forest,3.4601,1.8601,1.2146,0.987968
470,MLP,2.272,1.5073,1.0987,0.9921
465,Linear Regression,25051.7023,158.2773,103.7068,-86.113677
465,Random Forest,3.2154,1.7931,1.1856,0.988819
465,MLP,1.9883,1.4101,0.9943,0.993086
460,Linear Regression,17664.8217,132.9091,84.5345,-60.426867
460,Random Forest,3.0194,1.7376,1.1631,0.989501
460,MLP,1.3718,1.1712,0.8315,0.99523
455,Linear Regression,45275.6866,212.7808,128.8027,-156.439662
455,Random Forest,3.1375,1.7713,1.1662,0.98909
455,MLP,1.386,1.1773,0.8012,0.995181
450,Linear Regression,22976.6102,151.5804,97.8076,-78.897844
450,Random Forest,3.2781,1.8106,1.2121,0.988601
450,MLP,4.3537,2.0865,1.5225,0.984861
445,Linear Regression,50791.2733,225.3692,148.1426,-175.619319
445,Random Forest,3.3409,1.8278,1.1626,0.988383
445,MLP,2.2714,1.5071,1.1378,0.992102
440,Linear Regression,60949.9254,246.8804,164.7382,-210.944564
440,Random Forest,3.2435,1.801,1.1715,0.988721
440,MLP,2.6876,1.6394,1.1803,0.990654
435,Linear Regression,45514.1038,213.3403,116.4344,-157.268724
435,Random Forest,3.1068,1.7626,1.1825,0.989196
435,MLP,3.3636,1.834,1.4326,0.988303
430,Linear Regression,31336.0203,177.0198,106.8186,-107.966486
430,Random Forest,3.2362,1.799,1.2107,0.988746
430,MLP,1.3291,1.1529,0.7234,0.995378
425,Linear Regression,30088.2158,173.4596,109.6651,-103.627426
425,Random Forest,3.183,1.7841,1.1707,0.988932
425,MLP,4.3868,2.0945,1.5452,0.984745
420,Linear Regression,52112.8081,228.2823,142.893,-180.214765
420,Random Forest,3.1566,1.7767,1.1828,0.989023
420,MLP,1.8264,1.3514,0.9705,0.993649
415,Linear Regression,32043.4049,179.0067,110.1339,-110.426313
415,Random Forest,3.1665,1.7795,1.1711,0.988989
415,MLP,2.2145,1.4881,1.0291,0.992299
410,Linear Regression,36294.5657,190.5113,112.3108,-125.209111
410,Random Forest,3.1433,1.7729,1.1797,0.98907
410,MLP,3.8311,1.9573,1.374,0.986678
405,Linear Regression,80711.1337,284.097,164.4091,-279.661313
405,Random Forest,3.2063,1.7906,1.1687,0.988851
405,MLP,6.4938,2.5483,1.8408,0.977419
400,Linear Regression,33746.1007,183.7011,116.4892,-116.347192
400,Random Forest,2.9326,1.7125,1.1528,0.989802
400,MLP,2.034,1.4262,0.9942,0.992927
395,Linear Regression,79203.1463,281.4305,162.8978,-274.417504
395,Random Forest,3.1808,1.7835,1.1808,0.988939
395,MLP,3.0785,1.7546,1.1926,0.989295
390,Linear Regression,55649.5661,235.9016,135.4814,-192.513331
390,Random Forest,3.1998,1.7888,1.1752,0.988873
390,MLP,1.8589,1.3634,0.941,0.993536
385,Linear Regression,31339.0041,177.0283,104.3662,-107.976861
385,Random Forest,3.1106,1.7637,1.1697,0.989183
385,MLP,7.131,2.6704,1.9274,0.975203
380,Linear Regression,82368.0253,286.9983,171.8439,-285.422914
380,Random Forest,3.1723,1.7811,1.2116,0.988969
380,MLP,2.4433,1.5631,1.0925,0.991504
375,Linear Regression,112277.7168,335.0787,181.4215,-389.429548
375,Random Forest,2.8472,1.6874,1.1515,0.990099
375,MLP,8.854,2.9756,2.334,0.969211
370,Linear Regression,107623.1941,328.0597,179.9399,-373.244117
370,Random Forest,2.8735,1.6951,1.1695,0.990008
370,MLP,2.4598,1.5684,1.1021,0.991446
365,Linear Regression,155612.5755,394.4776,219.4726,-540.120261
365,Random Forest,3.23,1.7972,1.1951,0.988768
365,MLP,2.1199,1.456,1.0037,0.992628
360,Linear Regression,196300.6372,443.0583,223.4663,-681.607121
360,Random Forest,3.0878,1.7572,1.1669,0.989263
360,MLP,2.1298,1.4594,0.9932,0.992594
355,Linear Regression,43353.2433,208.2144,127.1806,-149.754643
355,Random Forest,3.1593,1.7774,1.1951,0.989014
355,MLP,3.9329,1.9832,1.4933,0.986324
350,Linear Regression,123960.8247,352.0807,168.4567,-430.055868
350,Random Forest,2.7172,1.6484,1.1072,0.990551
350,MLP,1.9329,1.3903,0.9619,0.993279
345,Linear Regression,83699.5282,289.3087,153.8002,-290.053023
345,Random Forest,3.0033,1.733,1.1298,0.989556
345,MLP,2.2494,1.4998,1.0788,0.992178
340,Linear Regression,100925.8495,317.6883,153.7145,-349.955068
340,Random Forest,2.8116,1.6768,1.1207,0.990223
340,MLP,1.9762,1.4058,0.9679,0.993128
335,Linear Regression,122950.7414,350.6433,195.432,-426.543449
335,Random Forest,2.9516,1.718,1.1807,0.989736
335,MLP,5.1553,2.2705,1.6471,0.982073
330,Linear Regression,273100.7467,522.5904,276.3517,-948.668412
330,Random Forest,2.8431,1.6862,1.1292,0.990113
330,MLP,2.3443,1.5311,0.9955,0.991848
325,Linear Regression,81693.5366,285.8208,154.4584,-283.077477
325,Random Forest,3.1414,1.7724,1.1744,0.989076
325,MLP,2.0414,1.4288,0.9896,0.992901
320,Linear Regression,345994.1327,588.2127,289.8628,-1202.144636
320,Random Forest,3.0643,1.7505,1.1907,0.989344
320,MLP,1.5515,1.2456,0.8551,0.994605
315,Linear Regression,188576.8112,434.2543,217.0775,-654.748631
315,Random Forest,3.0495,1.7463,1.152,0.989396
315,MLP,1.7493,1.3226,0.9724,0.993917
310,Linear Regression,102248.7031,319.7635,151.7927,-354.555101
310,Random Forest,2.7945,1.6717,1.118,0.990283
310,MLP,1.5946,1.2628,0.8214,0.994455
305,Linear Regression,303764.2896,551.1482,309.2939,-1055.296454
305,Random Forest,2.8463,1.6871,1.1572,0.990103
305,MLP,2.2156,1.4885,0.995,0.992296
300,Linear Regression,177063.4653,420.7891,193.2274,-614.712633
300,Random Forest,3.1373,1.7712,1.1651,0.989091
