n_thicknesses,total_samples,model,MSE,RMSE,MAE,R2
61,305,Linear Regression,18002.054,134.1717,89.3372,-61.599543
61,305,Random Forest,3.2719,1.8088,1.1987,0.988622
61,305,MLP,1.6321,1.2775,0.9148,0.994325
60,300,Linear Regression,18582.3222,136.317,90.5905,-64.360391
60,300,Random Forest,4.0899,2.0223,1.2752,0.985614
60,300,MLP,1.6851,1.2981,0.8763,0.994073
59,295,Linear Regression,9430.6988,97.1118,65.8675,-30.328325
59,295,Random Forest,3.8328,1.9577,1.2856,0.987268
59,295,MLP,2.7619,1.6619,1.2236,0.990825
58,290,Linear Regression,10035.1484,100.1756,54.7764,-33.41249
58,290,Random Forest,2.6649,1.6325,1.1536,0.990862
58,290,MLP,2.1477,1.4655,1.0913,0.992635
57,285,Linear Regression,8697.8194,93.2621,60.1468,-27.969489
57,285,Random Forest,1.8378,1.3557,1.0609,0.993879
57,285,MLP,2.8246,1.6807,1.3149,0.990592
56,280,Linear Regression,8810.0183,93.8617,57.6706,-29.53368
56,280,Random Forest,2.0624,1.4361,1.0102,0.992852
56,280,MLP,9.5874,3.0964,2.4595,0.966772
55,275,Linear Regression,11100.442,105.3586,69.0723,-33.056514
55,275,Random Forest,5.6335,2.3735,1.5238,0.982716
55,275,MLP,2.7835,1.6684,1.1149,0.99146
54,270,Linear Regression,24300.1661,155.8851,92.9108,-77.801183
54,270,Random Forest,3.9193,1.9797,1.3354,0.987291
54,270,MLP,1.8709,1.3678,1.1044,0.993933
53,265,Linear Regression,12191.3337,110.4144,55.5999,-36.189124
53,265,Random Forest,3.2077,1.791,1.2891,0.990215
53,265,MLP,30.0591,5.4826,4.6672,0.908306
52,260,Linear Regression,20343.2349,142.6297,89.7308,-60.95416
52,260,Random Forest,2.2565,1.5022,1.0902,0.993128
52,260,MLP,148.9734,12.2055,10.1237,0.54631
51,255,Linear Regression,24087.0374,155.2,95.6939,-70.210774
51,255,Random Forest,2.3499,1.5329,1.1578,0.993053
51,255,MLP,3.1734,1.7814,1.4153,0.990618
50,250,Linear Regression,44756.3241,211.5569,117.9906,-140.21191
50,250,Random Forest,4.7375,2.1766,1.4534,0.985053
50,250,MLP,14.0212,3.7445,2.6953,0.955761
49,245,Linear Regression,17245.1361,131.3207,92.0796,-53.439756
49,245,Random Forest,2.6008,1.6127,1.1906,0.99179
49,245,MLP,12.1781,3.4897,2.7761,0.961556
48,240,Linear Regression,4085.0991,63.9148,38.0273,-11.747694
48,240,Random Forest,1.9437,1.3942,1.0679,0.993935
48,240,MLP,116.8639,10.8104,9.0613,0.635322
47,235,Linear Regression,6305.1084,79.4047,44.6758,-18.942361
47,235,Random Forest,2.7166,1.6482,1.1468,0.991408
47,235,MLP,1.5144,1.2306,0.9148,0.99521
46,230,Linear Regression,7643.4521,87.4268,49.1523,-20.874469
46,230,Random Forest,6.0925,2.4683,1.495,0.982564
46,230,MLP,5.6971,2.3869,1.8317,0.983696
45,225,Linear Regression,1337.9743,36.5783,28.4494,-3.231543
45,225,Random Forest,11.3237,3.3651,1.8664,0.964187
45,225,MLP,4.7385,2.1768,1.2534,0.985014
44,220,Linear Regression,4061.7307,63.7317,39.5315,-11.629731
44,220,Random Forest,11.2673,3.3567,1.8823,0.964965
44,220,MLP,7.2946,2.7009,1.8451,0.977318
