wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
501,Linear Regression,28259.6786,18572.3948,161.2129,47.6453,105.2477,35.8077,-102.202,74.366
501,Random Forest,3.5158,1.0372,1.8564,0.2642,1.1697,0.1066,0.9875,0.0038
501,MLP,2.5655,1.2808,1.5559,0.3804,1.0398,0.181,0.9912,0.0037
495,Linear Regression,27987.7198,18048.1563,160.6276,46.76,104.9314,35.2297,-101.1995,72.3707
495,Random Forest,3.6746,0.9938,1.9001,0.2537,1.1724,0.0994,0.9869,0.0039
495,MLP,2.2675,0.5691,1.4921,0.2028,0.9494,0.1357,0.9919,0.0023
490,Linear Regression,33252.453,20960.8809,175.5046,49.5034,118.1502,32.753,-119.7374,83.8706
490,Random Forest,3.6812,1.0243,1.9024,0.2492,1.1761,0.0995,0.9869,0.0038
490,MLP,3.3389,1.9181,1.7323,0.5814,1.1941,0.3883,0.9885,0.0062
485,Linear Regression,30738.3535,13925.3019,171.2635,37.5121,110.6929,27.8236,-110.4361,56.6038
485,Random Forest,3.7869,1.0314,1.929,0.2563,1.1724,0.0851,0.9865,0.0041
485,MLP,7.9053,9.2077,2.431,1.4127,1.7955,1.1449,0.9725,0.032
480,Linear Regression,29102.8204,20429.26,162.5895,51.6477,108.7728,40.7786,-105.8064,81.5457
480,Random Forest,3.7119,1.0022,1.9109,0.2459,1.1685,0.1077,0.9868,0.0038
480,MLP,2.2838,1.067,1.4633,0.3775,0.9879,0.244,0.9921,0.0034
475,Linear Regression,38917.3952,23645.3853,189.273,55.6158,115.6543,37.3368,-138.1786,91.5752
475,Random Forest,3.5903,1.2258,1.8702,0.3044,1.1628,0.1189,0.9872,0.0045
475,MLP,2.596,2.1142,1.5003,0.5875,1.0163,0.4321,0.9913,0.0062
470,Linear Regression,34777.5023,20779.8805,178.2359,54.8586,114.2832,35.258,-127.4363,83.9556
470,Random Forest,3.6647,0.8838,1.9016,0.2209,1.1724,0.0828,0.9869,0.0034
