n_thicknesses,total_samples,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
61,305,Linear Regression,28259.6786,18572.3948,161.2129,47.6453,105.2477,35.8077,-102.202,74.366
61,305,Random Forest,3.5158,1.0372,1.8564,0.2642,1.1697,0.1066,0.9875,0.0038
61,305,MLP,2.5655,1.2808,1.5559,0.3804,1.0398,0.181,0.9912,0.0037
60,300,Linear Regression,18305.8792,11245.9302,128.6267,41.9647,83.6011,25.431,-58.9098,34.7412
60,300,Random Forest,3.682,0.8062,1.9047,0.2328,1.192,0.1409,0.9878,0.0028
60,300,MLP,2.4247,0.9026,1.5313,0.2827,1.0836,0.2488,0.9921,0.0027
59,295,Linear Regression,21147.5003,12451.4377,138.6433,43.8809,85.9063,27.4653,-76.0475,48.3416
59,295,Random Forest,2.7886,1.0815,1.6371,0.3293,1.0705,0.1247,0.9903,0.0033
59,295,MLP,2.2002,0.5394,1.4715,0.187,1.0273,0.1323,0.9923,0.0015
58,290,Linear Regression,19394.8643,10001.6092,134.7242,35.2739,80.0248,23.5361,-69.3961,40.4867
58,290,Random Forest,3.5085,1.1051,1.8498,0.2945,1.1857,0.1498,0.9875,0.0043
58,290,MLP,4.2453,2.9834,1.9299,0.7218,1.3594,0.457,0.9851,0.0104
57,285,Linear Regression,16453.9481,10869.5441,121.8783,39.9954,81.1253,25.7788,-59.6661,43.114
57,285,Random Forest,3.6078,2.5707,1.8074,0.584,1.1996,0.1853,0.9873,0.0089
57,285,MLP,5.5421,3.436,2.2477,0.7001,1.7177,0.5204,0.9796,0.0138
56,280,Linear Regression,17842.5392,7479.9607,130.4989,28.5059,81.1574,16.8808,-62.0395,31.4963
56,280,Random Forest,4.3347,1.4469,2.0499,0.364,1.2169,0.1232,0.9847,0.0064
56,280,MLP,28.8061,20.697,5.0023,1.9449,3.8935,1.4799,0.8963,0.0817
55,275,Linear Regression,13372.3355,1996.2127,115.3202,8.5785,70.4988,7.5104,-41.3455,6.6966
