wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
501,Linear Regression,35326.2328,17657.8573,182.0421,46.7644,107.7847,27.95,-127.6361,70.4992
501,Random Forest,3.9432,1.1843,1.9655,0.2828,1.204,0.1207,0.9859,0.0045
501,MLP,2.8939,1.9484,1.6177,0.5264,1.1272,0.3162,0.9901,0.0057
495,Linear Regression,37874.6586,24436.7474,185.3234,59.413,111.6972,31.642,-137.6634,96.8398
495,Random Forest,3.7219,0.9528,1.9142,0.2398,1.1772,0.0946,0.9867,0.0037
495,MLP,2.277,0.747,1.4881,0.2499,0.9224,0.1028,0.992,0.0024
490,Linear Regression,36694.4503,15391.4268,187.3361,39.9957,112.4162,24.5309,-131.8213,63.0974
490,Random Forest,3.9301,1.1497,1.9632,0.2758,1.1999,0.1222,0.986,0.0044
490,MLP,4.5061,4.0742,1.9063,0.9339,1.329,0.7329,0.9844,0.014
485,Linear Regression,48847.8112,29750.9533,211.5989,63.8257,126.5698,40.2983,-176.5,117.4932
485,Random Forest,4.0061,1.3991,1.9745,0.328,1.2066,0.1116,0.9857,0.0053
485,MLP,3.8694,1.8354,1.8806,0.577,1.3329,0.4005,0.9867,0.0058
480,Linear Regression,46920.7635,23599.6825,209.9959,53.1271,125.6676,29.7474,-167.609,92.0454
480,Random Forest,3.8184,1.2402,1.9316,0.2953,1.1826,0.1213,0.9864,0.0046
480,MLP,2.5952,1.4429,1.5406,0.4709,1.0575,0.3047,0.9909,0.0053
475,Linear Regression,39063.0891,27355.9936,188.2932,60.0729,114.348,36.4674,-141.6995,108.7391
475,Random Forest,3.8135,1.3145,1.9274,0.314,1.1868,0.1059,0.9864,0.0049
475,MLP,2.59,2.2895,1.4765,0.6403,0.994,0.4371,0.9914,0.0068
470,Linear Regression,37504.6417,22891.2759,185.3026,56.2812,110.3847,30.5623,-135.7581,90.2936
470,Random Forest,3.6748,0.9225,1.9023,0.2364,1.1643,0.0912,0.9868,0.0038
470,MLP,3.0038,1.9016,1.653,0.5209,1.1125,0.36,0.9898,0.0055
465,Linear Regression,87014.6426,64828.7174,276.4759,102.8383,168.8859,71.0547,-321.1879,257.2637
465,Random Forest,3.8622,0.8057,1.955,0.2006,1.2028,0.099,0.9862,0.0034
465,MLP,2.2661,1.236,1.4434,0.4274,0.979,0.2871,0.9921,0.0041
460,Linear Regression,63455.9921,49804.0377,236.797,85.9253,146.224,60.012,-232.9064,196.6856
460,Random Forest,3.7575,1.0859,1.919,0.2741,1.1732,0.0962,0.9865,0.0043
460,MLP,3.1174,2.6694,1.6111,0.7224,1.1045,0.5297,0.9888,0.0104
455,Linear Regression,47673.4885,32234.0748,207.7099,67.306,130.9613,38.0109,-171.7133,127.2893
455,Random Forest,3.7126,1.0095,1.9094,0.2584,1.1696,0.1011,0.9867,0.0042
455,MLP,3.626,2.1872,1.8063,0.6029,1.1825,0.4512,0.9876,0.007
450,Linear Regression,41570.2712,15036.7302,200.1128,39.0533,117.2843,26.8782,-149.0692,62.1003
450,Random Forest,3.6698,0.7381,1.9067,0.1854,1.1579,0.0701,0.9869,0.003
450,MLP,6.3373,5.5817,2.2881,1.0496,1.5967,0.8236,0.979,0.0164
445,Linear Regression,58715.575,33175.2528,232.3983,68.6048,147.8358,47.5055,-214.1964,134.4836
445,Random Forest,3.6682,0.8046,1.9043,0.2043,1.1735,0.0995,0.9869,0.0032
445,MLP,3.3024,2.1469,1.7232,0.577,1.1484,0.2934,0.9888,0.0063
440,Linear Regression,51429.4657,30566.5709,218.6333,60.2407,131.818,36.1918,-187.1207,123.5287
440,Random Forest,3.4525,0.8707,1.8437,0.2304,1.1534,0.1025,0.9877,0.0034
440,MLP,2.3575,1.1684,1.4755,0.4247,0.9679,0.2614,0.9917,0.0045
435,Linear Regression,53246.6847,22693.6377,225.6241,48.3783,137.3102,32.131,-189.6276,88.1487
435,Random Forest,3.8349,1.0925,1.9403,0.2651,1.1932,0.1018,0.9863,0.0042
435,MLP,2.5361,1.4485,1.5378,0.4137,1.0114,0.1827,0.9913,0.0042
430,Linear Regression,67349.4566,65064.2955,236.7868,106.2144,142.0952,68.9032,-245.9632,254.866
430,Random Forest,3.5607,0.8403,1.8745,0.2167,1.1589,0.0988,0.9873,0.0034
430,MLP,2.2483,0.8306,1.4736,0.2772,0.9063,0.1043,0.9921,0.0028
425,Linear Regression,63105.3618,27365.6093,245.4609,53.4259,152.0828,33.3751,-229.3188,114.663
425,Random Forest,3.9236,1.124,1.9615,0.276,1.1895,0.1037,0.986,0.0044
425,MLP,2.5023,1.031,1.5417,0.3541,1.0529,0.2254,0.9912,0.0037
420,Linear Regression,62892.7394,31966.7428,244.1398,57.3456,148.0479,35.8237,-227.6517,130.1548
420,Random Forest,4.0064,1.3561,1.974,0.331,1.2204,0.1441,0.9857,0.0052
420,MLP,3.06,1.6035,1.6808,0.4845,1.0609,0.238,0.9894,0.0053
415,Linear Regression,137617.5965,54056.9929,363.0511,76.2331,209.4442,52.2421,-493.8313,217.7536
415,Random Forest,3.7591,0.9911,1.9226,0.2501,1.1773,0.1161,0.9865,0.004
415,MLP,2.835,2.283,1.5784,0.5863,1.0512,0.4196,0.9905,0.0066
410,Linear Regression,140591.2377,67615.2536,364.9067,86.2225,222.4979,62.5192,-511.8091,279.1757
410,Random Forest,3.9231,1.2822,1.9566,0.3079,1.1856,0.1192,0.986,0.0049
410,MLP,2.8507,1.027,1.6487,0.3641,1.0339,0.2131,0.99,0.0037
405,Linear Regression,106531.7718,45948.2476,316.8531,78.3319,186.6048,54.3447,-376.6439,166.168
405,Random Forest,3.5609,0.895,1.8729,0.2307,1.16,0.1154,0.9873,0.0036
405,MLP,4.29,2.1252,1.9842,0.5941,1.3201,0.4028,0.9847,0.008
400,Linear Regression,82142.735,63078.3407,270.229,95.4935,166.5485,70.2316,-301.0807,250.2107
400,Random Forest,3.6503,0.7884,1.9002,0.1985,1.163,0.0816,0.987,0.0032
400,MLP,2.4021,1.1759,1.5105,0.3469,0.9963,0.1329,0.9918,0.0032
395,Linear Regression,107713.8085,66477.0557,313.5492,96.9573,190.8418,66.0655,-382.8255,251.9142
395,Random Forest,3.7744,0.6217,1.9365,0.1562,1.181,0.0922,0.9865,0.0027
395,MLP,3.3485,2.4362,1.7093,0.6532,1.1112,0.3933,0.9881,0.0093
390,Linear Regression,86640.7394,69636.874,272.9037,110.2919,166.1675,69.9582,-320.0416,272.6482
390,Random Forest,3.3399,0.6337,1.82,0.1654,1.138,0.0799,0.9881,0.0025
390,MLP,4.6859,4.2722,1.9901,0.8516,1.3604,0.6058,0.9844,0.0125
385,Linear Regression,111372.8637,59306.0838,323.4873,82.0293,184.5354,55.5628,-405.8528,241.515
385,Random Forest,3.8588,1.2121,1.9431,0.2881,1.1688,0.1054,0.9862,0.0046
385,MLP,3.4193,2.2269,1.7624,0.5595,1.1968,0.3291,0.9885,0.0064
380,Linear Regression,142193.9249,57920.0498,366.7535,87.6689,214.52,52.364,-500.7485,204.0311
380,Random Forest,4.1586,1.2851,2.0159,0.3077,1.2115,0.1075,0.9851,0.0051
380,MLP,4.8864,3.5682,2.0758,0.7598,1.3734,0.443,0.9836,0.0106
375,Linear Regression,128155.8061,61695.4276,348.6995,81.0212,200.627,52.6926,-464.9368,250.6577
375,Random Forest,3.8021,1.0116,1.9339,0.2491,1.1756,0.0713,0.9864,0.004
375,MLP,3.7553,3.0131,1.7802,0.7656,1.2481,0.6177,0.9868,0.0106
370,Linear Regression,119471.5138,32244.9348,342.6063,45.7434,200.8765,43.0305,-425.7835,134.5432
370,Random Forest,3.9038,1.0913,1.9577,0.2671,1.1911,0.094,0.986,0.0043
370,MLP,2.2964,0.7803,1.4842,0.3059,0.9379,0.1587,0.992,0.0025
365,Linear Regression,99038.6688,51556.0022,301.6369,89.7431,166.4173,58.3574,-348.9463,188.6419
365,Random Forest,4.0542,1.0072,1.9985,0.2453,1.185,0.0755,0.9855,0.0042
365,MLP,4.3205,2.2094,2.007,0.5409,1.3847,0.4739,0.9847,0.0079
