n_thicknesses,total_samples,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
61,305,Linear Regression,35326.2328,17657.8573,182.0421,46.7644,107.7847,27.95,-127.6361,70.4992
61,305,Random Forest,3.9432,1.1843,1.9655,0.2828,1.204,0.1207,0.9859,0.0045
61,305,MLP,2.8939,1.9484,1.6177,0.5264,1.1272,0.3162,0.9901,0.0057
60,300,Linear Regression,33349.0449,11526.4801,179.8822,31.4869,109.305,11.1144,-109.8583,41.9144
60,300,Random Forest,3.8224,0.7687,1.9441,0.2069,1.2145,0.1158,0.9874,0.0028
60,300,MLP,2.5567,0.8065,1.5776,0.2606,1.1142,0.2174,0.9916,0.0026
59,295,Linear Regression,27792.9021,14222.8759,161.8266,40.063,97.2311,31.4201,-101.2843,63.1315
59,295,Random Forest,2.4215,0.8222,1.5308,0.2794,1.0262,0.1461,0.9916,0.0026
59,295,MLP,1.9,0.5641,1.3614,0.2161,0.9134,0.1306,0.9934,0.0017
58,290,Linear Regression,26153.2983,16570.006,154.6337,47.3469,97.5555,28.6064,-91.8741,58.5019
58,290,Random Forest,3.7164,1.1151,1.907,0.2824,1.2165,0.1422,0.9868,0.0043
58,290,MLP,4.2984,2.9603,1.9454,0.7168,1.3722,0.505,0.9849,0.0103
57,285,Linear Regression,20318.0727,8306.8145,139.1399,30.9542,84.8592,15.1261,-72.0082,32.8007
57,285,Random Forest,3.3552,2.2322,1.7523,0.5335,1.1887,0.1827,0.9882,0.0077
57,285,MLP,4.9366,2.7447,2.1363,0.6107,1.5747,0.4963,0.9823,0.0106
56,280,Linear Regression,42377.6395,11190.8643,204.0688,27.0847,119.5753,22.1392,-148.3632,50.6342
56,280,Random Forest,4.3485,1.4097,2.0535,0.3629,1.2144,0.1147,0.9847,0.0061
56,280,MLP,29.9737,21.0159,5.1381,1.8904,3.8909,1.4488,0.8915,0.0852
55,275,Linear Regression,23505.7179,8780.9173,150.0951,31.2597,92.2931,17.1594,-73.9657,28.128
55,275,Random Forest,4.1569,1.4916,2.0026,0.3827,1.252,0.1509,0.9867,0.0052
55,275,MLP,8.6319,11.1469,2.4982,1.5462,1.919,1.4025,0.9707,0.0399
54,270,Linear Regression,19254.6284,2932.0163,138.3513,10.6553,82.8463,6.8845,-63.1191,8.0142
54,270,Random Forest,3.7231,0.638,1.9215,0.1755,1.2595,0.1346,0.9875,0.0026
54,270,MLP,6.8733,6.342,2.3943,1.0681,1.8349,0.8112,0.9774,0.0198
53,265,Linear Regression,22963.323,8831.1236,148.3708,30.8127,85.3967,21.9779,-75.237,28.0764
53,265,Random Forest,3.5921,1.1814,1.8727,0.2919,1.2222,0.1489,0.9878,0.0046
53,265,MLP,19.8684,13.351,4.2136,1.454,3.4265,1.4029,0.9326,0.0473
52,260,Linear Regression,14690.0163,7684.2791,116.3028,34.1125,76.1896,21.6968,-48.6503,21.5269
52,260,Random Forest,3.7849,1.5333,1.9042,0.3988,1.3062,0.2197,0.9864,0.0063
52,260,MLP,36.832,58.1486,4.4113,4.168,3.4865,3.5283,0.8813,0.1759
51,255,Linear Regression,17877.2486,11611.61,126.0107,44.7051,79.2846,23.9527,-56.7637,41.3013
51,255,Random Forest,7.2735,4.4933,2.58,0.7855,1.5002,0.3198,0.9759,0.0164
51,255,MLP,4.8317,3.0375,2.1162,0.5944,1.4226,0.4727,0.9849,0.0085
50,250,Linear Regression,18640.306,14684.8272,128.1102,47.2026,80.5564,22.2041,-57.4133,46.4467
50,250,Random Forest,5.5342,1.5627,2.3269,0.3461,1.4558,0.1154,0.9828,0.0046
50,250,MLP,11.9813,10.4445,3.1554,1.423,2.3498,1.072,0.9614,0.0349
49,245,Linear Regression,18086.0376,18693.9789,119.928,60.8549,77.365,31.768,-56.3031,58.595
49,245,Random Forest,4.0048,1.3567,1.9751,0.3223,1.331,0.1639,0.9868,0.0047
49,245,MLP,16.4769,9.6477,3.8626,1.248,2.9631,1.198,0.9483,0.0262
48,240,Linear Regression,13847.736,6769.8476,114.1128,28.7404,56.8686,12.8186,-41.679,19.184
48,240,Random Forest,3.2877,0.9231,1.7962,0.2479,1.2375,0.1246,0.9898,0.0027
48,240,MLP,75.9561,94.1633,6.7332,5.5335,5.1004,4.3269,0.7867,0.2526
47,235,Linear Regression,7269.0203,4720.8978,80.6383,27.6854,43.7734,9.5788,-21.1193,12.7021
47,235,Random Forest,2.9067,1.2533,1.6697,0.3444,1.1591,0.2112,0.991,0.003
47,235,MLP,4.1565,1.9413,1.9789,0.4906,1.5,0.3938,0.9862,0.0079
46,230,Linear Regression,5238.3854,980.315,72.0449,6.9225,42.1855,4.7329,-15.2314,3.6976
46,230,Random Forest,5.2883,1.8739,2.2658,0.3928,1.5465,0.2065,0.9838,0.0054
46,230,MLP,23.081,32.4458,3.9388,2.7507,2.7697,1.9176,0.9302,0.0969
45,225,Linear Regression,11301.429,5798.1272,103.1469,25.7324,59.4313,11.2766,-35.9967,15.7186
45,225,Random Forest,4.9399,3.191,2.1192,0.6699,1.4017,0.2613,0.9837,0.0098
45,225,MLP,6.6928,3.7728,2.4941,0.6871,1.6983,0.3906,0.9781,0.0101
44,220,Linear Regression,12287.8868,5236.0084,108.1209,24.4492,64.2813,14.1198,-41.8989,19.5146
44,220,Random Forest,6.8532,1.8477,2.5972,0.3279,1.6563,0.115,0.9769,0.005
44,220,MLP,7.9744,4.892,2.6791,0.8925,1.9318,0.5814,0.9744,0.0143
43,215,Linear Regression,6344.0265,2303.6369,78.2272,14.9845,47.7367,5.2782,-20.7451,6.9922
43,215,Random Forest,9.5053,4.0175,3.0219,0.611,1.8573,0.2098,0.9662,0.0165
43,215,MLP,4.0886,2.1273,1.9538,0.5209,1.3503,0.3671,0.9861,0.0066
42,210,Linear Regression,8792.7479,2957.4469,92.3863,16.0476,53.0718,7.8792,-28.7196,10.7304
42,210,Random Forest,4.8252,1.2911,2.1738,0.3161,1.5153,0.1811,0.9836,0.0052
42,210,MLP,5.158,1.5436,2.2492,0.3145,1.6609,0.2233,0.9824,0.0066
41,205,Linear Regression,18957.1662,13359.9789,125.6173,56.369,63.0785,19.875,-62.9112,46.3593
41,205,Random Forest,8.881,6.4217,2.8159,0.9756,1.8198,0.4346,0.9715,0.0193
41,205,MLP,11.6241,9.2966,3.1946,1.1912,2.3734,0.9262,0.9624,0.029
40,200,Linear Regression,9656.4935,5762.3522,93.0695,31.5366,56.6665,15.4949,-32.2359,17.8
40,200,Random Forest,6.6553,2.5928,2.5293,0.508,1.6619,0.1861,0.9765,0.01
40,200,MLP,5.9243,5.3871,2.2126,1.0142,1.7172,0.8511,0.9778,0.0222
39,195,Linear Regression,3275.6153,1237.8976,56.1925,10.8639,38.5295,8.6081,-10.6662,5.2324
39,195,Random Forest,7.7504,1.5802,2.7693,0.2852,1.8992,0.1321,0.9729,0.0066
39,195,MLP,192.819,183.5373,11.4984,7.785,8.4395,5.7758,0.3587,0.5991
38,190,Linear Regression,5192.1335,2611.5233,69.4669,19.1438,45.4575,13.0082,-17.1203,10.8613
38,190,Random Forest,8.3157,4.0733,2.8052,0.6683,1.8418,0.4013,0.9742,0.0103
38,190,MLP,16.4799,13.0487,3.739,1.5812,2.8734,1.4663,0.95,0.0359
