condition,model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,MSE_mean,MSE_std
Clean,Linear Regression,161.2129,47.6453,105.2477,35.8077,-102.202,74.366,28259.6786,18572.3948
Clean,Random Forest,1.8564,0.2642,1.1697,0.1066,0.9875,0.0038,3.5158,1.0372
Clean,MLP,1.5559,0.3804,1.0398,0.181,0.9912,0.0037,2.5655,1.2808
Gaussian,Linear Regression,21.8174,2.7067,14.2456,1.6941,-0.7414,0.4629,483.3236,107.4913
Gaussian,Random Forest,2.0191,0.3448,1.3139,0.0991,0.9849,0.0057,4.1957,1.4295
Gaussian,MLP,1.5749,0.2761,1.0982,0.1619,0.9911,0.0027,2.5565,0.8965
Relative,Linear Regression,17.9694,2.9359,12.8437,1.5389,-0.1892,0.4118,331.5203,104.8568
Relative,Random Forest,2.2057,0.205,1.3802,0.1079,0.9826,0.0036,4.9071,0.9372
Relative,MLP,1.6632,0.3218,1.1373,0.1436,0.9899,0.0036,2.8698,1.0757
Uniform,Linear Regression,21.4211,5.5496,14.5315,2.683,-0.7842,1.1195,489.6631,277.7409
Uniform,Random Forest,2.0627,0.3298,1.3508,0.1637,0.9846,0.0047,4.3637,1.3697
Uniform,MLP,1.644,0.2285,1.1094,0.1634,0.9902,0.0029,2.7551,0.6971
Bias,Linear Regression,182.0421,46.7644,107.7847,27.95,-127.6361,70.4992,35326.2328,17657.8573
Bias,Random Forest,1.9655,0.2828,1.204,0.1207,0.9859,0.0045,3.9432,1.1843
Bias,MLP,1.6177,0.5264,1.1272,0.3162,0.9901,0.0057,2.8939,1.9484
Mixed,Linear Regression,30.1456,7.0957,18.6379,2.8145,-2.4382,1.6405,959.1078,447.584
Mixed,Random Forest,2.1167,0.1948,1.3941,0.0953,0.984,0.0031,4.5185,0.8
Mixed,MLP,1.3202,0.2631,0.8899,0.129,0.9935,0.0031,1.8122,0.774
