wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
501,Linear Regression,483.3236,107.4913,21.8174,2.7067,14.2456,1.6941,-0.7414,0.4629
501,Random Forest,4.1957,1.4295,2.0191,0.3448,1.3139,0.0991,0.9849,0.0057
501,MLP,2.5565,0.8965,1.5749,0.2761,1.0982,0.1619,0.9911,0.0027
495,Linear Regression,477.5767,104.273,21.6971,2.6098,14.1927,1.6058,-0.7181,0.444
495,Random Forest,4.3651,1.5833,2.0558,0.3726,1.3393,0.136,0.9843,0.0063
495,MLP,2.3058,0.4236,1.5113,0.1479,0.9871,0.1321,0.9918,0.0016
490,Linear Regression,544.6869,146.707,23.0871,3.4168,15.3239,1.779,-0.9671,0.6066
490,Random Forest,4.1266,1.3992,2.0032,0.3375,1.3147,0.0737,0.9852,0.0055
490,MLP,2.7249,1.7482,1.5584,0.5443,1.0439,0.2854,0.9907,0.0054
485,Linear Regression,475.5472,103.0869,21.6513,2.6014,14.1265,1.6176,-0.7115,0.4419
485,Random Forest,3.8969,1.0617,1.9561,0.2656,1.3029,0.0977,0.9861,0.0043
485,MLP,3.1976,1.7131,1.7164,0.5016,1.1894,0.3391,0.9888,0.0059
480,Linear Regression,500.729,129.6477,22.1658,3.0673,14.4991,2.0524,-0.7959,0.504
480,Random Forest,3.921,1.1867,1.9582,0.294,1.292,0.0915,0.9859,0.0049
480,MLP,2.9716,2.1198,1.6158,0.6006,1.1172,0.4037,0.9898,0.0067
475,Linear Regression,1145.7412,766.5285,31.7646,11.6942,17.0572,4.4396,-3.1848,2.9405
475,Random Forest,4.1819,1.0195,2.0303,0.2446,1.3232,0.0687,0.985,0.0042
475,MLP,2.9648,2.5106,1.5951,0.6484,1.0945,0.4377,0.9901,0.0074
470,Linear Regression,851.9161,347.7423,28.6351,5.6524,17.1254,2.4676,-2.0713,1.4086
470,Random Forest,3.8392,1.1789,1.9372,0.2938,1.2808,0.0758,0.9862,0.0049
470,MLP,3.0189,2.0399,1.6537,0.533,1.1212,0.3934,0.9898,0.0058
465,Linear Regression,653.2819,224.4253,25.2005,4.2681,15.1665,2.0147,-1.3737,0.9627
465,Random Forest,4.2698,1.3582,2.0409,0.3235,1.331,0.1002,0.9847,0.0054
465,MLP,2.4755,1.2557,1.512,0.435,1.0525,0.2938,0.9914,0.0042
460,Linear Regression,504.4031,156.1945,22.1892,3.4702,14.1429,1.6599,-0.802,0.5795
460,Random Forest,4.1161,1.1002,2.0111,0.2674,1.2933,0.0703,0.9852,0.0046
460,MLP,2.933,2.4684,1.5753,0.6719,1.1194,0.5073,0.9894,0.0096
455,Linear Regression,628.4172,185.3642,24.7575,3.9346,15.4949,1.8941,-1.282,0.8025
455,Random Forest,4.3783,1.2397,2.0714,0.2963,1.3117,0.0466,0.9842,0.0052
455,MLP,3.8161,1.9394,1.8754,0.5467,1.2703,0.4106,0.9867,0.0067
450,Linear Regression,624.3372,218.2133,24.5455,4.6748,15.7253,2.9287,-1.266,0.8893
450,Random Forest,4.8107,1.4618,2.1667,0.3404,1.3459,0.0543,0.9826,0.006
450,MLP,7.1232,6.4608,2.4033,1.1607,1.7012,0.8972,0.9765,0.0191
445,Linear Regression,1217.0818,764.5169,33.061,11.1378,18.2943,3.9443,-3.4426,2.951
445,Random Forest,4.0963,1.6016,1.9878,0.3805,1.2578,0.1152,0.9852,0.0065
445,MLP,2.5628,0.9271,1.5713,0.3061,1.0711,0.1891,0.9911,0.0029
440,Linear Regression,1148.2955,372.3318,33.4818,5.2214,19.2053,2.3453,-3.1505,1.5885
440,Random Forest,4.0217,1.1815,1.9846,0.2882,1.3149,0.0867,0.9856,0.0047
440,MLP,2.8698,1.4766,1.6259,0.4758,1.1268,0.2895,0.9899,0.0056
435,Linear Regression,1217.4328,784.7052,33.3585,10.2296,20.1555,4.4244,-3.4575,3.1124
435,Random Forest,4.0762,1.113,2.0015,0.2652,1.3171,0.0604,0.9854,0.0044
435,MLP,3.3047,1.7551,1.7422,0.5192,1.1985,0.2999,0.9884,0.0061
430,Linear Regression,1337.9547,630.9744,35.6198,8.3176,19.4172,3.229,-3.8109,2.5257
430,Random Forest,4.0005,1.2657,1.9758,0.3111,1.2879,0.0887,0.9856,0.0051
430,MLP,2.4528,0.9998,1.5315,0.3276,0.9886,0.1438,0.9914,0.0033
425,Linear Regression,703.5752,332.9469,25.825,6.0534,15.5812,2.6403,-1.5617,1.3421
425,Random Forest,3.9392,1.0162,1.9684,0.2542,1.3101,0.0867,0.9858,0.0044
425,MLP,3.2784,1.5645,1.7484,0.4706,1.1976,0.3076,0.9887,0.0048
420,Linear Regression,1325.6966,370.9081,36.0616,5.0258,21.3885,2.101,-3.7919,1.6306
420,Random Forest,4.1009,0.9944,2.0105,0.2427,1.3161,0.0731,0.9854,0.004
420,MLP,2.7447,1.0308,1.6196,0.3487,1.0615,0.1715,0.9904,0.0034
415,Linear Regression,1339.3705,1110.6599,33.5299,14.6669,18.0012,5.3593,-3.9233,4.286
415,Random Forest,3.8197,1.0265,1.937,0.2604,1.2827,0.073,0.9864,0.0041
415,MLP,3.052,2.289,1.6533,0.5645,1.1131,0.4001,0.9897,0.0066
410,Linear Regression,678.6892,229.9555,25.65,4.5571,16.6956,3.4493,-1.4533,0.935
410,Random Forest,4.2102,1.5711,2.0188,0.3671,1.2901,0.082,0.9849,0.006
410,MLP,2.5897,0.9353,1.571,0.3491,1.01,0.2126,0.991,0.0032
405,Linear Regression,1178.7242,669.2534,32.958,9.6173,19.333,4.3662,-3.2547,2.5184
405,Random Forest,4.105,1.3862,1.9958,0.3492,1.2541,0.1293,0.9851,0.0057
405,MLP,4.2385,1.9523,1.9854,0.5448,1.359,0.3433,0.9849,0.0074
400,Linear Regression,858.6723,591.4604,27.8824,9.0134,15.8832,2.7014,-2.1384,2.3377
400,Random Forest,3.5728,1.2749,1.8611,0.3303,1.245,0.1311,0.9872,0.0052
400,MLP,2.4861,1.3859,1.5267,0.394,1.0175,0.1699,0.9915,0.0039
395,Linear Regression,846.0741,185.3082,28.904,3.2611,18.1808,2.0462,-2.016,0.7278
395,Random Forest,3.6457,1.2816,1.8796,0.336,1.2253,0.1199,0.987,0.0052
395,MLP,3.417,2.4015,1.7344,0.6395,1.1742,0.4206,0.9878,0.0092
390,Linear Regression,1184.2951,581.5066,33.4953,7.8968,18.4174,3.6883,-3.2699,2.3312
390,Random Forest,3.7102,1.0898,1.9047,0.287,1.2473,0.1165,0.9868,0.0044
390,MLP,4.347,4.6775,1.853,0.9557,1.2884,0.6586,0.9858,0.0138
385,Linear Regression,1788.5383,862.7503,40.9999,10.3704,22.7056,5.0549,-5.4318,3.2165
385,Random Forest,3.6198,1.0985,1.8802,0.2912,1.2547,0.1117,0.9871,0.0044
385,MLP,3.0918,2.0917,1.6758,0.5323,1.1578,0.3056,0.9895,0.006
380,Linear Regression,1536.8485,681.0203,38.0689,9.36,20.3722,3.6948,-4.5308,2.5261
380,Random Forest,3.8326,1.464,1.9218,0.373,1.2473,0.1368,0.9863,0.0059
380,MLP,4.8455,3.6356,2.03,0.8512,1.3454,0.5196,0.9837,0.0111
375,Linear Regression,1602.8362,737.7268,39.1572,8.3397,22.7936,2.8013,-4.7768,2.9922
375,Random Forest,3.7734,1.2863,1.9138,0.333,1.2302,0.1384,0.9865,0.0052
375,MLP,4.8793,3.4268,2.0446,0.836,1.4697,0.6315,0.9833,0.0114
370,Linear Regression,1638.2111,837.9368,39.2826,9.7514,23.6832,4.7869,-4.9559,3.3461
370,Random Forest,3.5214,1.1823,1.8488,0.3215,1.2649,0.1345,0.9874,0.0047
370,MLP,3.1226,1.9177,1.6881,0.5225,1.1686,0.4519,0.9891,0.0068
365,Linear Regression,1523.9158,554.3959,38.4056,6.9948,21.786,1.8026,-4.553,2.3811
365,Random Forest,3.7971,1.1511,1.9262,0.295,1.2381,0.0954,0.9864,0.0047
365,MLP,4.1725,2.2726,1.9644,0.5601,1.3601,0.4924,0.9852,0.0081
360,Linear Regression,1641.4851,1279.8802,37.994,14.0692,19.9202,3.731,-4.991,5.0328
360,Random Forest,3.6122,1.3483,1.8704,0.3375,1.2464,0.1371,0.987,0.0055
360,MLP,2.5325,1.097,1.5485,0.3671,1.0525,0.2097,0.9913,0.0033
355,Linear Regression,1214.8931,454.8298,34.202,6.7169,20.4314,3.4053,-3.4359,1.9189
355,Random Forest,3.5392,0.9328,1.8641,0.2536,1.289,0.1385,0.9874,0.0038
355,MLP,3.6466,1.8546,1.8333,0.5344,1.2478,0.3512,0.9872,0.0069
350,Linear Regression,1382.6797,327.3382,36.9109,4.5014,21.8855,1.9614,-3.9849,1.4603
350,Random Forest,3.338,1.0981,1.8023,0.2997,1.2263,0.138,0.9881,0.0045
350,MLP,2.0792,0.772,1.4121,0.2917,0.9482,0.1404,0.9928,0.0023
345,Linear Regression,1473.9339,609.5211,37.615,7.6842,22.5023,3.7613,-4.3353,2.4711
345,Random Forest,3.2873,0.8546,1.7966,0.2437,1.23,0.1177,0.9883,0.0035
345,MLP,3.2456,2.0312,1.7085,0.5716,1.1574,0.334,0.9889,0.0063
340,Linear Regression,1893.2394,938.558,42.1565,10.7734,23.6858,4.0777,-5.8555,3.628
340,Random Forest,3.8063,1.4737,1.9179,0.3578,1.2502,0.0907,0.9863,0.006
340,MLP,3.3724,2.5971,1.7333,0.6069,1.1171,0.3402,0.9887,0.0075
335,Linear Regression,1644.1187,979.7096,38.6826,12.1561,22.5926,5.4282,-4.9503,3.7862
335,Random Forest,3.4042,0.8483,1.8301,0.2344,1.2488,0.103,0.9879,0.0035
335,MLP,2.4495,1.1065,1.5263,0.3465,1.07,0.233,0.9914,0.0038
330,Linear Regression,1647.0045,1032.6503,38.9168,11.5104,22.8252,4.6657,-5.0355,4.1139
330,Random Forest,3.7487,1.1118,1.9151,0.285,1.2719,0.0949,0.9866,0.0046
330,MLP,4.3647,2.5182,1.9726,0.6883,1.368,0.5162,0.9849,0.0084
325,Linear Regression,1417.4009,842.0583,36.0354,10.902,21.7611,4.4941,-4.1645,3.2812
325,Random Forest,3.7773,0.9037,1.9299,0.2299,1.305,0.069,0.9865,0.0038
325,MLP,2.7775,1.5576,1.6123,0.422,1.0653,0.2443,0.9905,0.0044
320,Linear Regression,1488.8931,431.0106,38.2103,5.3727,22.8879,3.2242,-4.3184,1.782
320,Random Forest,3.6426,1.0273,1.8901,0.265,1.2421,0.0806,0.9869,0.0042
320,MLP,2.8349,1.847,1.6016,0.5193,1.1076,0.3642,0.9898,0.0073
315,Linear Regression,1085.9247,428.5982,32.3625,6.2126,19.6316,2.4525,-2.907,1.754
315,Random Forest,3.9052,1.0789,1.9579,0.2682,1.2656,0.0603,0.986,0.0045
315,MLP,3.7101,2.0716,1.8287,0.605,1.2725,0.4187,0.9869,0.0076
310,Linear Regression,2492.0338,1056.6721,48.7473,10.7578,27.2573,5.4439,-7.911,4.015
310,Random Forest,3.7278,0.9902,1.9141,0.2534,1.2798,0.0644,0.9866,0.0042
310,MLP,3.1645,2.1807,1.6933,0.5452,1.1026,0.3475,0.9893,0.0062
305,Linear Regression,1797.007,813.9995,41.338,9.3903,23.9108,3.9702,-5.4189,3.0035
305,Random Forest,3.9638,1.075,1.9734,0.2639,1.2722,0.0699,0.9858,0.0043
305,MLP,4.7369,2.7907,2.0582,0.7077,1.3758,0.5122,0.9834,0.0099
300,Linear Regression,2045.8105,749.2063,44.5008,8.0927,24.7047,3.9007,-6.3511,2.9877
300,Random Forest,3.7594,0.9068,1.9245,0.2362,1.271,0.1002,0.9866,0.0038
300,MLP,3.955,1.5721,1.9364,0.4533,1.2926,0.2494,0.9861,0.0058
295,Linear Regression,1941.9104,809.9208,43.1516,8.9357,24.6,5.1534,-5.9733,3.2468
