n_thicknesses,total_samples,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
61,305,Linear Regression,483.3236,107.4913,21.8174,2.7067,14.2456,1.6941,-0.7414,0.4629
61,305,Random Forest,4.1957,1.4295,2.0191,0.3448,1.3139,0.0991,0.9849,0.0057
61,305,MLP,2.5565,0.8965,1.5749,0.2761,1.0982,0.1619,0.9911,0.0027
60,300,Linear Regression,459.2627,240.4514,20.7109,5.5064,14.5363,2.9907,-0.5116,0.7799
60,300,Random Forest,4.4409,1.1298,2.0903,0.2674,1.3444,0.1175,0.9854,0.0035
60,300,MLP,2.3734,1.0661,1.5026,0.3399,1.0262,0.2334,0.9923,0.0032
59,295,Linear Regression,441.033,122.9897,20.7678,3.1198,12.9169,1.0097,-0.583,0.5368
59,295,Random Forest,3.1689,1.2776,1.7491,0.3309,1.2093,0.1122,0.989,0.004
59,295,MLP,2.4631,0.7932,1.5477,0.2605,1.0734,0.1349,0.9915,0.0023
58,290,Linear Regression,313.6075,177.9701,17.0652,4.7313,11.4105,2.6031,-0.1392,0.7391
58,290,Random Forest,4.2287,1.172,2.0383,0.2723,1.3659,0.1029,0.985,0.0042
58,290,MLP,4.3355,2.9164,1.963,0.6943,1.4106,0.5054,0.9848,0.0102
57,285,Linear Regression,327.1392,143.6935,17.6709,3.8571,12.14,2.1873,-0.1617,0.5427
57,285,Random Forest,4.0903,3.0341,1.9183,0.6405,1.3388,0.2191,0.9856,0.0105
57,285,MLP,6.8226,2.6093,2.5602,0.5179,1.9593,0.3426,0.9755,0.0104
56,280,Linear Regression,371.1886,192.9821,18.5652,5.1498,12.5558,2.8714,-0.2595,0.5956
56,280,Random Forest,5.7409,1.7537,2.3616,0.4046,1.4257,0.1003,0.98,0.0071
56,280,MLP,21.3556,15.234,4.36,1.5318,3.3258,0.9841,0.9284,0.0487
55,275,Linear Regression,333.3267,76.2177,18.1334,2.1232,12.4422,0.8966,-0.0588,0.257
55,275,Random Forest,3.5854,0.7547,1.8838,0.1913,1.3301,0.1471,0.9887,0.002
55,275,MLP,4.3216,1.0865,2.0628,0.2576,1.5483,0.3237,0.9862,0.0038
54,270,Linear Regression,425.9835,104.5664,20.4879,2.4958,13.4542,0.8946,-0.4154,0.3032
54,270,Random Forest,3.8989,1.0435,1.954,0.2842,1.3338,0.1818,0.9869,0.0036
54,270,MLP,7.0896,7.2666,2.3993,1.1546,1.8717,0.92,0.9769,0.0227
53,265,Linear Regression,491.4776,132.8893,21.9538,3.0839,15.0992,1.529,-0.68,0.5332
53,265,Random Forest,4.9108,1.9319,2.1761,0.4189,1.4674,0.2084,0.9832,0.0075
53,265,MLP,18.9037,12.8618,4.1045,1.4343,3.3844,1.3848,0.9357,0.0458
52,260,Linear Regression,241.8921,33.6498,15.511,1.1403,11.481,1.1915,0.1532,0.1171
52,260,Random Forest,4.3864,1.5641,2.0598,0.3788,1.4001,0.1841,0.9842,0.0071
52,260,MLP,40.3645,63.6343,4.7701,4.1965,3.6469,3.462,0.8712,0.192
51,255,Linear Regression,258.8506,96.8813,15.7476,3.2961,11.235,2.0951,0.1772,0.3082
51,255,Random Forest,6.1499,3.0538,2.4101,0.5844,1.5283,0.2252,0.9797,0.0113
51,255,MLP,9.1523,8.5737,2.7429,1.2764,1.9963,0.9948,0.9697,0.0305
50,250,Linear Regression,236.6741,116.9204,14.977,3.5163,10.4771,1.3743,0.2527,0.3767
50,250,Random Forest,5.7665,1.3328,2.3851,0.2791,1.5943,0.124,0.9819,0.0042
50,250,MLP,12.377,10.8684,3.204,1.453,2.4005,1.0896,0.9602,0.0363
49,245,Linear Regression,301.5169,104.8039,17.0642,3.2141,11.8782,1.8295,0.0268,0.3026
49,245,Random Forest,4.6167,1.8183,2.1092,0.4099,1.4287,0.159,0.9847,0.0063
49,245,MLP,12.6149,7.2611,3.4129,0.9834,2.5544,0.9365,0.9592,0.0224
48,240,Linear Regression,516.963,194.2737,22.3103,4.3834,14.6065,2.8059,-0.578,0.5072
48,240,Random Forest,3.4819,1.271,1.8356,0.3355,1.3359,0.1713,0.9894,0.0033
48,240,MLP,77.3025,96.9772,6.7621,5.6193,5.085,4.3784,0.7833,0.2595
47,235,Linear Regression,394.1608,244.8641,18.8849,6.1254,11.8082,2.6585,-0.183,0.6005
47,235,Random Forest,3.4671,0.9792,1.8437,0.2606,1.3437,0.2059,0.9891,0.0023
47,235,MLP,4.2933,1.7649,2.0261,0.4337,1.5341,0.3988,0.9858,0.0072
46,230,Linear Regression,276.5112,130.5175,16.1097,4.1217,10.5845,2.6516,0.1538,0.3808
46,230,Random Forest,6.1705,2.7628,2.4197,0.5619,1.6452,0.3105,0.9813,0.0078
46,230,MLP,106.5394,153.6198,8.0055,6.5155,6.1641,5.1505,0.6422,0.5367
45,225,Linear Regression,339.9782,111.2339,18.1376,3.3177,12.9073,2.2762,-0.1636,0.4204
45,225,Random Forest,5.1658,2.3838,2.2064,0.5454,1.5125,0.3193,0.9828,0.0074
45,225,MLP,6.7518,3.7132,2.5075,0.6815,1.7112,0.405,0.9778,0.0101
