wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
501,Linear Regression,959.1078,447.584,30.1456,7.0957,18.6379,2.8145,-2.4382,1.6405
501,Random Forest,4.5185,0.8,2.1167,0.1948,1.3941,0.0953,0.984,0.0031
501,MLP,1.8122,0.774,1.3202,0.2631,0.8899,0.129,0.9935,0.0031
495,Linear Regression,984.811,484.2018,30.4571,7.5613,18.6855,2.8538,-2.53,1.7672
495,Random Forest,4.4039,0.7816,2.0902,0.187,1.3702,0.1045,0.9843,0.0034
495,MLP,2.3202,0.7837,1.5027,0.2494,0.9431,0.0959,0.9919,0.0022
490,Linear Regression,977.0851,452.8396,30.4137,7.2175,18.9363,2.9168,-2.5051,1.6703
490,Random Forest,4.4523,0.8326,2.1002,0.2033,1.3692,0.1255,0.9842,0.0033
490,MLP,4.3819,4.2914,1.8715,0.9377,1.2818,0.7442,0.9849,0.0148
485,Linear Regression,1018.8134,463.8587,31.0718,7.3044,19.0337,2.9498,-2.6609,1.7138
485,Random Forest,4.2985,0.8643,2.0627,0.2093,1.3805,0.1076,0.9847,0.0036
485,MLP,2.7246,1.3159,1.5912,0.4391,1.0999,0.2792,0.9906,0.0042
480,Linear Regression,1006.1587,470.7839,30.9311,7.0304,19.073,2.4884,-2.5956,1.6815
480,Random Forest,4.4411,0.9545,2.0954,0.2243,1.3832,0.1216,0.9842,0.0039
480,MLP,2.4559,1.3053,1.5059,0.4338,1.0173,0.258,0.9914,0.0046
475,Linear Regression,1222.5566,599.2914,33.9438,8.3889,20.4535,3.3333,-3.3813,2.1699
475,Random Forest,4.6907,0.6931,2.16,0.1583,1.3801,0.0773,0.9833,0.0032
475,MLP,2.6184,2.233,1.4964,0.6157,1.0396,0.4197,0.9912,0.0066
470,Linear Regression,943.9274,456.3665,29.9064,7.038,18.3129,2.8886,-2.3762,1.633
470,Random Forest,4.305,0.6728,2.0684,0.1638,1.3315,0.0933,0.9847,0.0027
470,MLP,2.7885,2.0643,1.5738,0.5584,1.0715,0.3508,0.9906,0.006
465,Linear Regression,1036.5422,334.9129,31.7879,5.1058,20.3578,2.1248,-2.7126,1.3122
465,Random Forest,4.2222,0.7441,2.0468,0.1811,1.3401,0.1196,0.985,0.0033
465,MLP,2.2528,1.1638,1.4433,0.412,0.9809,0.2756,0.9922,0.0039
460,Linear Regression,921.618,446.5705,29.4751,7.269,18.3633,3.1202,-2.2915,1.6281
460,Random Forest,4.4397,0.9457,2.0956,0.2191,1.363,0.1276,0.9842,0.0041
460,MLP,4.5675,3.9288,1.9159,0.9469,1.371,0.69,0.9843,0.0131
455,Linear Regression,1081.3647,420.0958,32.2603,6.3748,19.4577,2.3707,-2.8855,1.5544
455,Random Forest,4.2675,0.8333,2.0557,0.204,1.3674,0.1117,0.9848,0.0035
