n_thicknesses,total_samples,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
61,305,Linear Regression,959.1078,447.584,30.1456,7.0957,18.6379,2.8145,-2.4382,1.6405
61,305,Random Forest,4.5185,0.8,2.1167,0.1948,1.3941,0.0953,0.984,0.0031
61,305,MLP,1.8122,0.774,1.3202,0.2631,0.8899,0.129,0.9935,0.0031
60,300,Linear Regression,837.9308,307.3087,28.3072,6.0526,18.5289,3.2368,-1.7708,1.0365
60,300,Random Forest,4.1376,0.5539,2.0293,0.1392,1.3449,0.0618,0.9864,0.0018
60,300,MLP,2.79,0.8387,1.648,0.272,1.1476,0.1918,0.9909,0.0025
59,295,Linear Regression,579.6741,300.467,23.3976,5.6768,15.6833,4.0997,-1.0566,1.0683
59,295,Random Forest,3.3846,0.9186,1.8235,0.2435,1.2665,0.0573,0.9881,0.003
59,295,MLP,2.0963,0.502,1.4368,0.1786,0.9683,0.1133,0.9927,0.0014
58,290,Linear Regression,690.8822,244.3811,25.8547,4.7345,18.8924,3.6005,-1.4503,0.898
58,290,Random Forest,4.0219,1.0485,1.9885,0.2601,1.3219,0.1296,0.9858,0.0039
58,290,MLP,4.3724,3.2267,1.9466,0.7636,1.3989,0.55,0.9847,0.0113
57,285,Linear Regression,663.5366,340.1187,24.9298,6.4841,16.4105,3.4026,-1.3676,1.2914
57,285,Random Forest,3.9252,2.2008,1.9203,0.4876,1.3556,0.1729,0.9862,0.0076
57,285,MLP,4.5374,2.4029,2.0628,0.5314,1.5508,0.4258,0.9833,0.0102
56,280,Linear Regression,1028.0664,742.575,29.9645,11.4103,17.672,4.0175,-2.4386,2.4867
56,280,Random Forest,5.1489,1.9771,2.2288,0.4259,1.3955,0.1327,0.9817,0.0089
56,280,MLP,32.3347,19.7756,5.4067,1.7613,4.2311,1.3365,0.8842,0.0807
55,275,Linear Regression,740.9833,283.6446,26.7078,5.2608,17.4339,2.5604,-1.3337,0.8624
55,275,Random Forest,4.0935,0.617,2.0179,0.1475,1.4272,0.1301,0.9871,0.0018
55,275,MLP,3.4975,0.5702,1.8637,0.1547,1.3736,0.1562,0.9889,0.002
54,270,Linear Regression,692.6774,319.7776,25.5923,6.1408,16.9984,3.4398,-1.3361,1.1468
54,270,Random Forest,4.8143,1.0949,2.1781,0.2648,1.4853,0.1501,0.9838,0.0038
54,270,MLP,7.5949,6.1883,2.5866,0.9511,2.0717,0.8089,0.9752,0.0192
53,265,Linear Regression,921.7477,314.1572,29.9818,4.7792,20.0365,2.1795,-2.1468,1.2143
53,265,Random Forest,4.8319,1.8027,2.1621,0.3963,1.46,0.1864,0.9836,0.0068
53,265,MLP,11.5134,8.0177,3.2154,1.0839,2.5339,1.0157,0.9624,0.0238
52,260,Linear Regression,790.4506,258.4374,27.7577,4.4677,18.3978,1.8801,-1.782,0.9581
52,260,Random Forest,4.8621,1.4054,2.1802,0.3296,1.4942,0.1679,0.9826,0.0063
52,260,MLP,37.1053,56.0854,4.639,3.9478,3.6472,3.3492,0.88,0.1694
51,255,Linear Regression,732.0492,178.6456,26.8694,3.1753,19.8979,2.9806,-1.323,0.4499
51,255,Random Forest,7.8231,3.4725,2.7375,0.5738,1.6982,0.2299,0.9742,0.0132
51,255,MLP,9.7526,8.6715,2.8356,1.3083,2.0538,1.0302,0.9679,0.0305
50,250,Linear Regression,1247.0678,624.3433,34.1843,8.8599,22.2265,4.8541,-2.8637,1.8746
50,250,Random Forest,6.9374,1.6955,2.613,0.3312,1.6809,0.1307,0.9784,0.0049
50,250,MLP,11.4089,9.5348,3.1065,1.3261,2.2859,0.9927,0.9633,0.0318
49,245,Linear Regression,492.1176,178.4911,21.8418,3.8798,15.6123,2.2725,-0.6147,0.5477
49,245,Random Forest,4.4846,1.3316,2.0965,0.2986,1.4933,0.1315,0.9851,0.0049
49,245,MLP,7.2633,1.8823,2.6716,0.3544,1.9023,0.3278,0.976,0.0063
48,240,Linear Regression,758.5536,468.5213,26.35,8.0144,17.9337,4.9965,-1.2474,1.1474
48,240,Random Forest,4.0982,1.0991,2.0072,0.2629,1.3948,0.0996,0.9874,0.0028
48,240,MLP,75.3479,92.9136,6.7294,5.483,5.0976,4.317,0.7882,0.2494
47,235,Linear Regression,338.5977,107.8099,18.1485,3.0378,12.1855,1.6284,-0.0942,0.4022
47,235,Random Forest,4.0584,1.266,1.9906,0.3097,1.3684,0.1914,0.9873,0.0031
47,235,MLP,5.3612,2.7398,2.2323,0.6148,1.739,0.5245,0.9831,0.0081
46,230,Linear Regression,1012.3715,410.538,31.1633,6.4202,20.0367,4.2347,-2.0624,1.1264
46,230,Random Forest,6.9405,2.4913,2.5931,0.4649,1.751,0.2347,0.9789,0.0068
46,230,MLP,23.2655,29.4511,4.0103,2.6801,2.945,2.031,0.93,0.0879
45,225,Linear Regression,304.6488,74.5099,17.3132,2.2143,12.9002,1.2844,-0.0193,0.2165
45,225,Random Forest,5.9261,2.8317,2.3717,0.5486,1.6034,0.2476,0.9802,0.0087
45,225,MLP,7.1149,3.3954,2.5878,0.6466,1.7895,0.4386,0.9764,0.0097
44,220,Linear Regression,778.5023,240.2915,27.4949,4.7471,19.3499,3.0974,-1.661,0.8095
44,220,Random Forest,7.4823,1.0795,2.7281,0.1992,1.7922,0.1017,0.9743,0.0054
44,220,MLP,7.3714,4.1236,2.6055,0.7633,1.8841,0.5059,0.9761,0.0118
43,215,Linear Regression,478.8423,187.021,21.4776,4.1899,15.4107,2.8165,-0.6713,0.6501
43,215,Random Forest,9.2428,3.4487,2.9913,0.5432,1.9339,0.1895,0.9673,0.0143
43,215,MLP,8.0761,6.9359,2.6218,1.0964,1.8774,0.9282,0.9709,0.0272
42,210,Linear Regression,542.0056,204.6092,22.9017,4.1852,16.1375,2.9613,-0.8584,0.8305
42,210,Random Forest,5.703,1.2884,2.3708,0.2873,1.7248,0.1989,0.9807,0.0049
42,210,MLP,4.8113,1.7156,2.1604,0.3792,1.6405,0.3101,0.9837,0.0068
41,205,Linear Regression,393.0866,158.5022,19.4793,3.6939,13.9814,2.2835,-0.3084,0.5863
41,205,Random Forest,9.5359,6.15,2.9421,0.9381,2.0236,0.4749,0.9693,0.0185
41,205,MLP,11.5596,8.9487,3.1953,1.1617,2.3751,0.943,0.9626,0.0279
40,200,Linear Regression,397.3189,189.3136,19.4453,4.3815,13.0529,2.3976,-0.3483,0.5445
40,200,Random Forest,7.8958,2.9243,2.7597,0.5291,1.8481,0.2714,0.9719,0.0121
40,200,MLP,5.5513,5.2851,2.159,0.9434,1.6426,0.8365,0.9792,0.022
39,195,Linear Regression,319.9413,193.701,17.2557,4.7099,12.9268,3.6516,-0.156,0.8134
39,195,Random Forest,9.175,1.6522,3.0174,0.2651,2.0761,0.1401,0.9682,0.0059
39,195,MLP,197.8859,182.5272,11.9802,7.373,8.8043,5.399,0.3419,0.5959
38,190,Linear Regression,288.3367,142.1122,16.5264,3.9007,12.1382,1.8311,0.0116,0.5908
38,190,Random Forest,9.5296,4.3544,3.0172,0.653,2.0268,0.4007,0.9704,0.0106
38,190,MLP,16.5339,12.9857,3.752,1.5673,2.8922,1.4593,0.9498,0.0356
37,185,Linear Regression,366.7964,127.4366,18.8635,3.3111,13.0004,1.3605,-0.1855,0.3907
37,185,Random Forest,11.4703,4.2498,3.3314,0.6097,2.1529,0.285,0.9623,0.0157
37,185,MLP,55.1233,94.0926,5.3646,5.1327,4.1336,4.1969,0.8344,0.2779
36,180,Linear Regression,408.6086,147.5881,19.7541,4.2876,13.2539,2.5546,-0.3421,0.5186
36,180,Random Forest,6.7183,2.1126,2.5575,0.4213,1.7928,0.1942,0.9788,0.0059
36,180,MLP,4.4149,2.3845,2.0156,0.5937,1.3719,0.3137,0.986,0.0075
35,175,Linear Regression,189.9472,66.9293,13.5566,2.4828,9.8303,1.8137,0.3965,0.234
35,175,Random Forest,21.4017,11.8205,4.4006,1.427,2.7354,0.7194,0.9326,0.037
35,175,MLP,146.2708,127.9789,10.1727,6.5412,7.8655,4.9826,0.5439,0.3946
34,170,Linear Regression,232.0876,87.4934,15.0054,2.6316,11.6169,1.8186,0.213,0.2506
34,170,Random Forest,16.4046,7.8204,3.9121,1.0487,2.5415,0.5781,0.9453,0.0253
34,170,MLP,45.9179,62.8955,5.5371,3.9062,4.2262,3.1552,0.8417,0.2238
33,165,Linear Regression,305.4951,132.9102,17.0167,3.9909,12.4342,3.0036,0.0735,0.37
33,165,Random Forest,18.6302,9.3523,4.1814,1.0707,2.6907,0.6646,0.9445,0.0229
33,165,MLP,9.4239,4.4949,2.981,0.7331,2.1847,0.6779,0.9699,0.0166
32,160,Linear Regression,282.806,53.2559,16.7485,1.5147,12.4441,0.7405,0.1429,0.1886
32,160,Random Forest,18.7394,14.7109,4.0558,1.5131,2.6486,0.968,0.9481,0.0334
32,160,MLP,15.0046,14.496,3.3882,1.8774,2.3912,1.4517,0.9564,0.0436
31,155,Linear Regression,405.0225,127.7099,19.8587,3.2643,14.3748,2.5347,-0.2557,0.4018
31,155,Random Forest,17.6327,8.8746,4.0333,1.1683,2.5737,0.5215,0.9487,0.0233
31,155,MLP,113.4285,171.7224,8.3088,6.6628,6.5103,5.5147,0.7001,0.4264
30,150,Linear Regression,294.4413,234.4497,16.1373,5.8334,10.4611,2.1846,-0.0208,0.9348
30,150,Random Forest,12.4561,6.2701,3.4279,0.8399,2.3853,0.5035,0.9625,0.0125
30,150,MLP,34.204,38.9311,5.099,2.8643,4.1048,2.2736,0.8883,0.1276
