wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
501,Linear Regression,331.5203,104.8568,17.9694,2.9359,12.8437,1.5389,-0.1892,0.4118
501,Random Forest,4.9071,0.9372,2.2057,0.205,1.3802,0.1079,0.9826,0.0036
501,MLP,2.8698,1.0757,1.6632,0.3218,1.1373,0.1436,0.9899,0.0036
495,Linear Regression,328.0306,98.2066,17.8992,2.7658,12.7935,1.33,-0.1766,0.3917
495,Random Forest,5.143,1.3613,2.2488,0.2927,1.3787,0.12,0.9817,0.0051
495,MLP,2.8607,0.9061,1.668,0.2803,1.0996,0.14,0.99,0.0029
490,Linear Regression,331.2851,110.5237,17.9194,3.1907,12.6871,1.7245,-0.1875,0.4316
490,Random Forest,5.1656,1.4504,2.2527,0.3015,1.3806,0.1265,0.9816,0.0054
490,MLP,3.0388,1.5821,1.6786,0.47,1.1291,0.3155,0.9895,0.0051
485,Linear Regression,350.6458,90.8193,18.5678,2.4251,13.2268,1.2737,-0.2608,0.3914
485,Random Forest,4.9563,1.3497,2.2071,0.2918,1.3654,0.1321,0.9824,0.005
485,MLP,4.1188,1.4206,1.991,0.3932,1.4469,0.2718,0.9857,0.0043
480,Linear Regression,364.2539,152.1361,18.6434,4.084,13.2644,1.9927,-0.3139,0.598
480,Random Forest,5.0314,1.1983,2.2273,0.2658,1.3682,0.1122,0.982,0.0047
480,MLP,3.2099,1.4473,1.7269,0.4771,1.2151,0.2706,0.9887,0.0053
475,Linear Regression,361.2349,123.6138,18.7178,3.2982,13.2493,1.819,-0.2968,0.4881
475,Random Forest,5.1809,1.4022,2.2573,0.2924,1.3719,0.1065,0.9815,0.0053
475,MLP,4.0153,3.5308,1.7965,0.8877,1.2913,0.6519,0.9859,0.013
470,Linear Regression,465.5163,162.328,21.2424,3.7786,14.585,2.2137,-0.6728,0.6226
470,Random Forest,5.1295,1.4629,2.2427,0.3157,1.3957,0.1297,0.9817,0.0055
470,MLP,3.128,2.0098,1.6794,0.5546,1.1498,0.3355,0.9894,0.0059
465,Linear Regression,399.5166,135.2039,19.6434,3.6952,13.7498,2.0991,-0.4327,0.5315
465,Random Forest,4.7978,1.0274,2.178,0.2326,1.3716,0.1229,0.9829,0.0041
465,MLP,2.781,1.1723,1.6191,0.3995,1.123,0.2617,0.9903,0.0042
460,Linear Regression,355.7711,86.834,18.7154,2.3465,13.0985,1.0625,-0.2798,0.3783
460,Random Forest,4.278,1.2041,2.046,0.3033,1.3195,0.1296,0.9849,0.0043
460,MLP,3.7057,3.1912,1.757,0.7866,1.2649,0.5914,0.9866,0.0125
455,Linear Regression,434.8335,173.364,20.394,4.3494,13.978,1.904,-0.5633,0.6845
455,Random Forest,4.988,1.281,2.216,0.2778,1.368,0.1209,0.9822,0.0048
455,MLP,3.8677,2.1355,1.8914,0.5386,1.2818,0.4541,0.9865,0.0072
450,Linear Regression,384.7317,84.7994,19.4951,2.1619,13.4886,1.2641,-0.3768,0.359
450,Random Forest,4.7995,1.1296,2.1757,0.2564,1.3454,0.1089,0.9829,0.0044
450,MLP,4.3447,1.8764,2.0138,0.5378,1.3684,0.4914,0.9848,0.0066
445,Linear Regression,444.7233,135.8731,20.8079,3.4287,14.7201,1.9054,-0.5993,0.5635
445,Random Forest,5.148,0.7411,2.2628,0.1664,1.4034,0.0747,0.9816,0.0034
445,MLP,2.582,1.1695,1.5581,0.3927,1.0566,0.2234,0.991,0.0038
440,Linear Regression,377.0945,96.5911,19.2595,2.4832,13.4532,1.0591,-0.3519,0.3994
440,Random Forest,5.2377,1.6275,2.2636,0.3371,1.4101,0.1564,0.9813,0.006
440,MLP,2.5806,0.9006,1.5786,0.2976,1.0808,0.1567,0.9909,0.0032
435,Linear Regression,397.0383,93.3824,19.7946,2.2826,13.887,1.0474,-0.4141,0.3638
435,Random Forest,4.9836,1.237,2.2167,0.2639,1.3875,0.1323,0.9822,0.0048
435,MLP,2.5219,1.2238,1.5453,0.366,1.0324,0.1497,0.9913,0.0037
430,Linear Regression,469.8427,203.1613,21.113,4.9076,15.0885,2.5292,-0.6924,0.7729
430,Random Forest,4.7579,1.3971,2.1586,0.3134,1.3563,0.1365,0.983,0.0052
430,MLP,2.5129,0.9056,1.5554,0.3058,1.02,0.1468,0.9912,0.0032
425,Linear Regression,498.2194,142.1558,22.1106,3.0564,15.0944,1.3535,-0.7797,0.5357
425,Random Forest,4.8429,1.2104,2.1836,0.2735,1.34,0.1194,0.9828,0.0046
425,MLP,2.8683,1.2966,1.6379,0.4308,1.1239,0.2551,0.99,0.0043
420,Linear Regression,330.8287,81.1201,18.0467,2.268,12.7282,0.863,-0.1824,0.3316
420,Random Forest,4.8044,1.1959,2.175,0.2718,1.3362,0.122,0.9829,0.0045
420,MLP,3.8893,1.5103,1.9415,0.3464,1.3111,0.3208,0.9862,0.0053
415,Linear Regression,459.2538,138.6169,21.2056,3.0944,14.1824,1.415,-0.6518,0.5851
415,Random Forest,4.6625,1.2515,2.1399,0.2885,1.327,0.1152,0.9834,0.0047
415,MLP,2.8191,1.5768,1.6206,0.4388,1.107,0.2901,0.9899,0.0062
410,Linear Regression,446.1036,189.659,20.6832,4.2787,14.5469,1.8559,-0.6147,0.7808
410,Random Forest,4.7245,1.1488,2.1582,0.2586,1.367,0.1136,0.9832,0.0045
410,MLP,3.5171,1.2929,1.8356,0.3841,1.227,0.1957,0.9877,0.0044
405,Linear Regression,513.9854,146.0186,22.4309,3.2925,15.286,1.7099,-0.8497,0.5976
405,Random Forest,4.7993,1.3833,2.1697,0.3031,1.3637,0.1444,0.9829,0.005
405,MLP,5.2882,2.2885,2.218,0.6073,1.4969,0.3699,0.9816,0.0077
400,Linear Regression,421.124,135.0771,20.2067,3.5797,14.1503,1.8823,-0.5055,0.5432
400,Random Forest,5.496,1.9073,2.3109,0.3949,1.3931,0.0967,0.9803,0.0071
400,MLP,2.8794,1.9299,1.6202,0.5044,1.121,0.3265,0.9902,0.0055
395,Linear Regression,619.1841,105.987,24.7908,2.1446,16.8625,0.3564,-1.2195,0.5055
395,Random Forest,5.3055,1.7379,2.2751,0.3598,1.3807,0.1169,0.981,0.0065
395,MLP,2.9511,1.9305,1.6245,0.5586,1.1412,0.3614,0.9895,0.0074
390,Linear Regression,443.7033,196.9129,20.5488,4.6313,13.9923,2.1667,-0.5981,0.7476
390,Random Forest,4.6077,0.9334,2.1359,0.2141,1.3568,0.1133,0.9836,0.0037
390,MLP,2.6772,1.5511,1.5554,0.5079,1.0285,0.2647,0.9908,0.005
385,Linear Regression,444.3494,144.8519,20.7726,3.5846,14.5488,1.9188,-0.6021,0.5726
385,Random Forest,4.4361,1.1196,2.0884,0.2737,1.357,0.1017,0.9843,0.004
385,MLP,3.4157,2.31,1.7528,0.5861,1.2324,0.3263,0.9885,0.0067
380,Linear Regression,672.8276,304.3559,25.2689,5.8574,17.3923,3.6589,-1.4502,1.235
380,Random Forest,4.6309,1.3841,2.1265,0.3296,1.3667,0.1291,0.9835,0.0054
380,MLP,3.9766,1.198,1.9707,0.305,1.3311,0.1269,0.9859,0.0043
375,Linear Regression,788.7765,372.1264,27.4511,5.934,18.2555,1.4967,-1.8583,1.5244
375,Random Forest,4.3687,1.0539,2.0727,0.2696,1.3076,0.1132,0.9845,0.004
375,MLP,3.1845,2.2527,1.6781,0.6071,1.1454,0.3918,0.9892,0.0067
370,Linear Regression,737.5492,287.4338,26.635,5.3036,17.0494,3.1915,-1.6711,1.1645
370,Random Forest,4.2932,1.2729,2.0478,0.3157,1.2897,0.1364,0.9848,0.0047
370,MLP,2.9181,1.8453,1.6323,0.5036,1.0767,0.2842,0.9901,0.0053
365,Linear Regression,594.2366,242.9535,23.8603,4.9923,15.5532,2.3178,-1.1646,1.0119
365,Random Forest,4.2617,1.4667,2.029,0.3808,1.2953,0.1444,0.9848,0.0056
365,MLP,2.9691,2.0839,1.6332,0.5494,1.0815,0.341,0.9893,0.0082
360,Linear Regression,707.0005,322.7613,25.9195,5.9314,17.3306,2.5484,-1.5422,1.2586
360,Random Forest,4.4316,1.1727,2.0872,0.274,1.3294,0.1023,0.9842,0.0044
360,MLP,3.2559,1.353,1.7526,0.4293,1.2283,0.287,0.9886,0.0046
355,Linear Regression,798.359,497.7743,26.8952,8.6608,18.2682,4.2651,-1.943,1.9718
355,Random Forest,5.1349,1.1029,2.2536,0.2372,1.3604,0.1072,0.9817,0.0045
355,MLP,3.0354,0.7112,1.7293,0.2116,1.1325,0.1071,0.9892,0.0029
350,Linear Regression,874.6708,363.0192,28.9253,6.164,19.7051,3.7185,-2.1909,1.5243
350,Random Forest,4.8388,1.5003,2.175,0.3288,1.333,0.1134,0.9827,0.0056
350,MLP,3.1122,2.076,1.6785,0.5428,1.133,0.2923,0.9895,0.006
345,Linear Regression,868.7474,307.031,28.9891,5.3273,19.5032,3.1873,-2.1375,1.2233
345,Random Forest,4.7348,1.442,2.1538,0.3096,1.3417,0.131,0.9832,0.0052
345,MLP,2.9185,1.8228,1.628,0.5179,1.0922,0.3132,0.99,0.0054
340,Linear Regression,815.0587,308.2588,27.9227,5.9481,18.202,2.8862,-1.9533,1.1903
340,Random Forest,5.3491,1.7122,2.284,0.3636,1.3329,0.1436,0.9808,0.0064
