n_thicknesses,total_samples,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
61,305,Linear Regression,331.5203,104.8568,17.9694,2.9359,12.8437,1.5389,-0.1892,0.4118
61,305,Random Forest,4.9071,0.9372,2.2057,0.205,1.3802,0.1079,0.9826,0.0036
61,305,MLP,2.8698,1.0757,1.6632,0.3218,1.1373,0.1436,0.9899,0.0036
60,300,Linear Regression,283.4632,19.4287,16.8263,0.5822,12.353,0.3565,0.063,0.1001
60,300,Random Forest,4.2767,0.9066,2.0558,0.2249,1.3322,0.1227,0.986,0.0026
60,300,MLP,2.7524,0.8172,1.6407,0.2459,1.1189,0.2507,0.991,0.0025
59,295,Linear Regression,290.1712,63.2956,16.9369,1.8202,11.7451,1.3034,-0.0178,0.2038
59,295,Random Forest,3.0517,1.1135,1.7172,0.3208,1.1804,0.1053,0.9893,0.0035
59,295,MLP,1.6575,0.5773,1.2684,0.2206,0.8944,0.0648,0.9942,0.0018
58,290,Linear Regression,232.8488,29.3373,15.228,0.9777,11.2219,0.3363,0.1766,0.1198
58,290,Random Forest,4.4304,1.4287,2.0794,0.3262,1.3543,0.1567,0.9842,0.0055
58,290,MLP,4.4047,3.2407,1.9547,0.7642,1.4293,0.5294,0.9845,0.0113
57,285,Linear Regression,269.6583,59.765,16.3102,1.9067,11.9042,1.0146,0.04,0.2556
57,285,Random Forest,4.4334,2.7168,2.0243,0.5793,1.3484,0.2065,0.9842,0.0096
57,285,MLP,5.1649,2.3794,2.2122,0.5208,1.6623,0.4172,0.9812,0.0101
56,280,Linear Regression,274.3829,40.2481,16.5213,1.1963,12.2307,0.7819,0.0549,0.1303
56,280,Random Forest,5.3095,1.7778,2.2623,0.4378,1.3954,0.2166,0.9815,0.0069
56,280,MLP,32.7935,18.4286,5.4858,1.6429,4.1951,1.1905,0.8837,0.0725
55,275,Linear Regression,216.2668,48.4633,14.5983,1.7769,10.2763,1.2322,0.3123,0.1675
55,275,Random Forest,3.8789,1.024,1.9531,0.2535,1.3521,0.1043,0.9879,0.0026
55,275,MLP,3.3572,0.9598,1.8123,0.2699,1.3009,0.1892,0.9895,0.0024
54,270,Linear Regression,278.0118,29.0562,16.6512,0.865,12.656,0.969,0.068,0.1198
54,270,Random Forest,4.1239,0.4641,2.0274,0.1163,1.3485,0.065,0.9862,0.0018
54,270,MLP,7.9706,6.7568,2.6123,1.0707,2.0382,0.8139,0.9739,0.0211
53,265,Linear Regression,323.8887,86.9178,17.8475,2.3145,12.7681,1.6789,-0.1008,0.3374
53,265,Random Forest,5.6885,3.2256,2.3084,0.5997,1.4138,0.2072,0.9803,0.0122
53,265,MLP,20.2372,14.0591,4.2361,1.5142,3.4123,1.4273,0.9312,0.0498
52,260,Linear Regression,234.2609,63.3722,15.1667,2.0571,11.3849,1.6809,0.1538,0.3133
52,260,Random Forest,4.801,1.4011,2.1692,0.3092,1.3973,0.1482,0.9831,0.005
52,260,MLP,36.5772,54.7479,4.6965,3.8105,3.6609,3.2624,0.8822,0.165
51,255,Linear Regression,286.2323,97.7045,16.6806,2.8267,12.2544,2.1115,0.0954,0.2762
51,255,Random Forest,6.5589,1.8647,2.5299,0.3982,1.588,0.1821,0.9789,0.0061
51,255,MLP,9.7286,8.315,2.8736,1.2129,2.073,0.9508,0.9679,0.0297
50,250,Linear Regression,277.8423,60.7584,16.5587,1.9109,12.1287,1.2662,0.1234,0.218
50,250,Random Forest,5.4865,0.9549,2.3326,0.2136,1.5757,0.0733,0.9828,0.003
50,250,MLP,11.9882,9.8661,3.1875,1.352,2.3839,1.0129,0.9614,0.0329
49,245,Linear Regression,289.8588,32.633,16.9991,0.9424,12.4109,1.0103,0.0305,0.2118
49,245,Random Forest,4.7228,1.8972,2.1319,0.4219,1.506,0.2145,0.9846,0.0062
49,245,MLP,11.3528,8.6395,3.1436,1.2128,2.2354,1.1632,0.963,0.0269
48,240,Linear Regression,174.0154,7.1053,13.1887,0.269,10.2372,0.3543,0.4557,0.0793
48,240,Random Forest,3.8792,0.7252,1.9612,0.181,1.355,0.073,0.988,0.002
48,240,MLP,78.1516,96.686,6.9151,5.5075,5.2751,4.3245,0.7805,0.2586
47,235,Linear Regression,252.2008,34.7432,15.8445,1.074,11.5943,0.7864,0.1885,0.1502
47,235,Random Forest,3.9178,0.9347,1.9643,0.2433,1.3353,0.1264,0.9873,0.0039
47,235,MLP,5.4453,3.2761,2.2233,0.7087,1.6587,0.5725,0.9827,0.0102
46,230,Linear Regression,246.0007,71.5068,15.5235,2.241,11.6302,1.7737,0.2427,0.2251
46,230,Random Forest,7.2361,3.2749,2.6273,0.5771,1.7284,0.2081,0.978,0.009
46,230,MLP,84.793,134.0789,6.8287,6.1775,4.9165,4.438,0.7126,0.4678
45,225,Linear Regression,255.5122,69.3282,15.8402,2.1446,11.4543,1.3611,0.1534,0.1705
45,225,Random Forest,6.139,2.6149,2.4184,0.5387,1.5916,0.295,0.9793,0.0089
45,225,MLP,6.5681,3.8544,2.4419,0.7779,1.7209,0.5054,0.9784,0.0108
44,220,Linear Regression,240.7727,52.3545,15.4202,1.7289,11.7763,1.7158,0.1749,0.2123
44,220,Random Forest,9.1285,1.9716,3.0037,0.3258,1.9044,0.154,0.9683,0.0097
44,220,MLP,7.3327,4.5677,2.5499,0.9115,1.8073,0.6225,0.9765,0.0134
43,215,Linear Regression,225.6469,26.1433,14.9968,0.8613,10.9902,0.7437,0.2125,0.0822
43,215,Random Forest,9.2433,3.1039,2.9961,0.5161,1.99,0.2254,0.9676,0.0115
43,215,MLP,8.4803,6.5359,2.745,0.9721,2.055,0.8742,0.9694,0.0258
42,210,Linear Regression,256.9361,71.0525,15.8739,2.2259,11.9487,1.5633,0.1265,0.2844
42,210,Random Forest,4.9754,1.5165,2.2068,0.3249,1.5905,0.1704,0.9833,0.005
42,210,MLP,5.1476,1.955,2.2266,0.4356,1.6527,0.3709,0.9822,0.008
41,205,Linear Regression,220.4972,77.2183,14.6265,2.5618,10.4922,1.7981,0.2783,0.2587
41,205,Random Forest,7.9636,5.5691,2.6865,0.864,1.8131,0.4774,0.9747,0.0164
41,205,MLP,11.364,8.3614,3.1648,1.1611,2.315,0.988,0.9631,0.0262
40,200,Linear Regression,175.7282,33.7651,13.1957,1.2658,10.2154,1.2658,0.3875,0.1253
40,200,Random Forest,8.2553,3.6276,2.8086,0.6059,1.8474,0.2686,0.9704,0.0156
40,200,MLP,6.913,4.9747,2.4764,0.8835,1.97,0.7466,0.9749,0.0208
39,195,Linear Regression,190.0696,19.1397,13.7687,0.7027,10.2339,0.4784,0.3396,0.0794
39,195,Random Forest,8.8789,2.3614,2.9553,0.3811,2.0265,0.2081,0.9692,0.0082
39,195,MLP,191.3819,186.153,11.316,7.958,8.4218,5.9881,0.3636,0.6084
38,190,Linear Regression,201.2884,25.1928,14.1619,0.8531,11.0955,1.2071,0.3366,0.17
38,190,Random Forest,8.6666,4.8506,2.852,0.7299,1.9143,0.3979,0.9731,0.0123
38,190,MLP,19.6834,11.6641,4.1946,1.4451,3.3662,1.2939,0.9377,0.0344
37,185,Linear Regression,184.2481,30.7249,13.5242,1.1592,10.0202,1.3512,0.4035,0.0916
37,185,Random Forest,10.638,4.4832,3.186,0.698,2.0965,0.3532,0.9652,0.0158
37,185,MLP,51.3192,87.502,5.1646,4.9645,3.9447,4.1122,0.8454,0.2583
36,180,Linear Regression,186.473,49.1644,13.5434,1.7464,10.2822,1.5893,0.3985,0.1763
36,180,Random Forest,6.8795,3.0545,2.5569,0.5847,1.7634,0.3051,0.9785,0.0083
36,180,MLP,4.7445,2.9046,2.0844,0.6323,1.5073,0.4097,0.9849,0.0094
35,175,Linear Regression,177.8117,29.1415,13.2903,1.0859,10.0836,0.5514,0.4328,0.1357
35,175,Random Forest,21.2639,11.8999,4.3829,1.4333,2.7428,0.7473,0.9331,0.0373
35,175,MLP,103.9967,120.9884,7.9136,6.4321,5.8733,5.0051,0.6859,0.3666
34,170,Linear Regression,171.4935,16.3966,13.0814,0.608,9.9462,0.6775,0.4025,0.1071
34,170,Random Forest,14.4197,5.8705,3.7002,0.8536,2.3685,0.4401,0.9519,0.0185
34,170,MLP,52.8129,79.2144,5.6541,4.5656,4.227,3.5649,0.8176,0.2822
33,165,Linear Regression,226.8409,29.0715,15.0288,0.9876,11.325,0.7675,0.2914,0.1234
