wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
501,Linear Regression,489.6631,277.7409,21.4211,5.5496,14.5315,2.683,-0.7842,1.1195
501,Random Forest,4.3637,1.3697,2.0627,0.3298,1.3508,0.1637,0.9846,0.0047
501,MLP,2.7551,0.6971,1.644,0.2285,1.1094,0.1634,0.9902,0.0029
495,Linear Regression,484.3088,283.3867,21.2573,5.6952,14.3959,2.7466,-0.7644,1.1388
495,Random Forest,4.0634,1.1781,1.993,0.3025,1.308,0.1458,0.9856,0.0043
495,MLP,2.9528,1.6168,1.6576,0.4528,1.0564,0.2675,0.9898,0.0048
490,Linear Regression,455.1519,230.0612,20.7582,4.9245,14.0496,2.2151,-0.6436,0.9247
490,Random Forest,4.2691,1.3706,2.0369,0.3466,1.3337,0.1619,0.985,0.0048
490,MLP,3.0143,1.8132,1.6329,0.5898,1.1056,0.3407,0.9895,0.0062
485,Linear Regression,486.3022,263.8411,21.4038,5.3083,14.6517,2.5447,-0.7684,1.0676
485,Random Forest,4.0218,1.2492,1.9801,0.3179,1.3171,0.1501,0.9858,0.0043
485,MLP,7.9964,8.8635,2.4782,1.3619,1.8274,1.1235,0.9722,0.0308
480,Linear Regression,522.6539,226.7996,22.4079,4.5322,15.0439,2.2941,-0.8975,0.9409
480,Random Forest,4.3514,1.2939,2.0617,0.3173,1.3357,0.1361,0.9846,0.0047
480,MLP,2.4863,1.2562,1.5201,0.4191,1.042,0.2449,0.9914,0.0039
475,Linear Regression,631.7853,377.9575,24.2526,6.6028,15.7927,2.6465,-1.2984,1.5143
475,Random Forest,4.3478,0.9726,2.0721,0.2331,1.3507,0.1191,0.9846,0.0036
475,MLP,2.7422,2.3519,1.524,0.6477,1.0492,0.4469,0.9908,0.007
470,Linear Regression,504.1928,314.0376,21.6064,6.112,14.8312,3.0555,-0.8442,1.2568
470,Random Forest,4.2086,1.2102,2.0296,0.2988,1.3538,0.1388,0.9852,0.0041
470,MLP,3.0694,2.022,1.664,0.5481,1.1474,0.3778,0.9896,0.006
465,Linear Regression,679.2818,394.3652,25.2222,6.5668,15.9481,2.9301,-1.4748,1.588
465,Random Forest,4.1741,1.0249,2.0271,0.2551,1.3333,0.1325,0.9853,0.0035
465,MLP,2.5763,1.0491,1.571,0.3289,1.0718,0.211,0.991,0.0035
460,Linear Regression,831.1391,568.6582,27.3599,9.0871,16.857,3.893,-2.0641,2.2528
460,Random Forest,3.922,1.2168,1.9572,0.3023,1.3165,0.1533,0.9861,0.0046
460,MLP,4.6877,3.5688,1.989,0.8553,1.4266,0.6085,0.9838,0.012
455,Linear Regression,520.3761,192.7806,22.4651,3.9615,14.5366,2.1025,-0.8787,0.8038
455,Random Forest,4.0083,0.9449,1.9874,0.242,1.2933,0.1253,0.9858,0.0036
455,MLP,4.021,2.0447,1.9193,0.5809,1.2995,0.438,0.9859,0.0073
450,Linear Regression,674.8481,532.5101,24.3708,8.9952,15.7339,4.1372,-1.4968,2.0967
450,Random Forest,4.3853,1.2509,2.0715,0.3071,1.3359,0.1255,0.9845,0.0048
450,MLP,3.9495,1.9423,1.9037,0.5703,1.2245,0.4945,0.9863,0.0066
445,Linear Regression,855.4073,457.4634,28.4249,6.8872,17.807,2.6346,-2.1146,1.8564
445,Random Forest,4.1692,1.1968,2.0193,0.3026,1.3287,0.125,0.9852,0.0045
445,MLP,3.3163,2.3803,1.7161,0.6093,1.1475,0.3402,0.9888,0.007
440,Linear Regression,657.1832,320.2042,25.0081,5.6371,15.8106,2.6372,-1.3759,1.2967
440,Random Forest,4.1443,1.3115,2.0088,0.3304,1.3189,0.1463,0.9854,0.0047
440,MLP,2.8957,1.5506,1.6436,0.4409,1.1264,0.2887,0.9896,0.0061
435,Linear Regression,901.1844,581.7062,28.8365,8.3452,18.0099,3.0535,-2.294,2.3247
435,Random Forest,4.1549,1.1567,2.0168,0.2956,1.3491,0.1468,0.9853,0.0042
435,MLP,3.0482,1.5815,1.6833,0.4634,1.1056,0.2808,0.9895,0.0047
430,Linear Regression,686.7055,340.4627,25.5405,5.8642,16.9809,2.1303,-1.5043,1.3912
430,Random Forest,3.9184,1.0837,1.9612,0.2688,1.3076,0.1131,0.9861,0.0041
430,MLP,2.6299,1.0628,1.5879,0.3294,0.9475,0.1012,0.9909,0.0032
425,Linear Regression,1152.8864,289.1186,33.6849,4.268,19.9579,2.2187,-3.1353,1.2702
425,Random Forest,4.4117,1.2849,2.0781,0.3056,1.339,0.1453,0.9844,0.0047
425,MLP,2.5133,1.3081,1.5256,0.4312,1.0481,0.2969,0.9911,0.0048
