n_thicknesses,total_samples,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
61,305,Linear Regression,489.6631,277.7409,21.4211,5.5496,14.5315,2.683,-0.7842,1.1195
61,305,Random Forest,4.3637,1.3697,2.0627,0.3298,1.3508,0.1637,0.9846,0.0047
61,305,MLP,2.7551,0.6971,1.644,0.2285,1.1094,0.1634,0.9902,0.0029
60,300,Linear Regression,359.6475,116.0546,18.6869,3.2321,13.6062,2.1602,-0.1751,0.3614
60,300,Random Forest,4.1779,0.6701,2.0372,0.1668,1.3203,0.1083,0.9862,0.0022
60,300,MLP,2.58,0.9384,1.5791,0.2941,1.0744,0.2328,0.9916,0.0028
59,295,Linear Regression,370.3661,81.2015,19.1285,2.1131,13.6402,1.8377,-0.3151,0.3311
59,295,Random Forest,3.0293,0.8674,1.7221,0.2522,1.2285,0.1578,0.9895,0.0025
59,295,MLP,2.4299,0.3836,1.5538,0.1256,1.0458,0.121,0.9915,0.001
58,290,Linear Regression,233.7229,88.1405,15.0438,2.7215,11.2924,1.9113,0.1548,0.3907
58,290,Random Forest,3.9996,0.9449,1.9859,0.2363,1.3416,0.0899,0.986,0.003
58,290,MLP,5.229,4.6469,2.0523,1.0086,1.468,0.7014,0.9816,0.0164
57,285,Linear Regression,261.2846,68.1248,16.0289,2.0879,12.0168,1.3897,0.0805,0.2226
57,285,Random Forest,3.9443,2.2831,1.9208,0.5049,1.3189,0.1443,0.986,0.008
57,285,MLP,5.5808,3.3547,2.2691,0.6572,1.6656,0.4288,0.9796,0.0133
56,280,Linear Regression,413.2798,198.2293,19.8324,4.4673,13.6103,1.8949,-0.377,0.5343
56,280,Random Forest,5.3596,1.6014,2.2861,0.3651,1.4361,0.0872,0.9815,0.0056
56,280,MLP,29.9723,19.6406,5.164,1.8182,3.9784,1.3326,0.8927,0.0777
55,275,Linear Regression,402.0805,169.1332,19.4358,4.9328,12.7648,2.602,-0.2737,0.5255
55,275,Random Forest,3.4597,0.8242,1.8477,0.2141,1.333,0.1711,0.9891,0.0024
55,275,MLP,12.1871,11.8468,3.0796,1.6441,2.448,1.4971,0.9598,0.0417
54,270,Linear Regression,329.7131,51.5027,18.1004,1.4458,12.7204,1.3504,-0.1039,0.1818
54,270,Random Forest,3.6958,0.6697,1.9136,0.1843,1.333,0.092,0.9876,0.0025
54,270,MLP,7.3808,6.3608,2.5101,1.0392,1.9318,0.8367,0.9758,0.0199
53,265,Linear Regression,429.9053,157.0658,20.4174,3.6104,14.4628,1.8876,-0.4545,0.5741
53,265,Random Forest,4.3186,1.3474,2.0548,0.3107,1.3859,0.1391,0.9852,0.0054
53,265,MLP,12.4501,9.4044,3.3088,1.2256,2.6139,1.1351,0.9594,0.0281
52,260,Linear Regression,231.6354,60.2885,15.1021,1.8877,11.2381,1.1085,0.1895,0.1915
52,260,Random Forest,4.4829,1.6183,2.0809,0.3909,1.4293,0.1623,0.9841,0.0063
52,260,MLP,37.1715,57.2757,4.6159,3.983,3.5857,3.4221,0.8805,0.1729
51,255,Linear Regression,278.8408,129.8486,16.3022,3.6163,11.9296,2.2852,0.1128,0.3729
51,255,Random Forest,7.2814,2.9682,2.6439,0.5397,1.6472,0.181,0.9761,0.0112
51,255,MLP,8.1859,8.9284,2.5489,1.2996,1.8202,1.0209,0.9725,0.032
50,250,Linear Regression,212.2338,77.7672,14.3175,2.6913,10.5064,1.8473,0.3179,0.2879
50,250,Random Forest,5.7729,1.1069,2.3915,0.2315,1.5895,0.092,0.9818,0.004
50,250,MLP,12.0614,10.4232,3.1683,1.4225,2.3533,1.0648,0.9612,0.0348
49,245,Linear Regression,294.9419,108.4799,16.8772,3.1784,12.1247,1.301,0.0477,0.3147
49,245,Random Forest,4.5766,2.0228,2.0932,0.4419,1.4414,0.2395,0.9848,0.0071
49,245,MLP,9.0033,3.8159,2.9339,0.6288,2.0788,0.4549,0.9706,0.012
48,240,Linear Regression,346.4585,94.3514,18.4304,2.6036,13.134,1.2919,-0.0501,0.2013
48,240,Random Forest,4.2478,1.6987,2.0246,0.3859,1.45,0.1445,0.9871,0.0045
48,240,MLP,83.0044,93.373,7.4618,5.2275,5.8598,3.9923,0.7664,0.2481
47,235,Linear Regression,355.9448,69.1294,18.7808,1.7959,13.3643,0.8959,-0.1281,0.1574
47,235,Random Forest,4.2568,0.7101,2.0564,0.1677,1.4324,0.1537,0.9865,0.0013
47,235,MLP,5.6724,2.926,2.2931,0.6433,1.7513,0.5596,0.9819,0.0092
46,230,Linear Regression,311.9988,148.9909,17.166,4.1624,12.4176,2.8201,0.019,0.5213
46,230,Random Forest,6.1955,2.3945,2.4444,0.4695,1.6717,0.2677,0.9812,0.0067
46,230,MLP,23.4229,33.0843,3.9707,2.7671,2.8649,1.9661,0.9293,0.0989
45,225,Linear Regression,297.8767,146.0832,16.7205,4.2781,11.577,1.9523,-0.064,0.6225
45,225,Random Forest,5.8446,3.1026,2.3385,0.6131,1.6045,0.354,0.9804,0.0097
45,225,MLP,6.8554,4.0036,2.5143,0.7306,1.7029,0.4871,0.9776,0.0109
44,220,Linear Regression,341.6933,132.9051,18.1743,3.3747,12.8848,2.1885,-0.1382,0.3648
44,220,Random Forest,8.8625,1.7124,2.9639,0.2791,1.8862,0.1146,0.9698,0.0059
44,220,MLP,7.3212,4.1935,2.5792,0.8179,1.885,0.5723,0.9764,0.0121
43,215,Linear Regression,275.9304,173.6631,15.7521,5.2727,11.2847,3.5016,0.022,0.6521
43,215,Random Forest,9.1307,2.7582,2.9887,0.445,1.9409,0.1598,0.9678,0.0114
43,215,MLP,6.2258,4.8906,2.33,0.8928,1.5865,0.4978,0.9788,0.016
42,210,Linear Regression,164.4001,41.195,12.7238,1.5823,9.254,0.7935,0.4384,0.1811
42,210,Random Forest,5.0324,1.2439,2.2257,0.2805,1.6279,0.1967,0.983,0.0045
42,210,MLP,4.9369,2.2301,2.1707,0.4744,1.6401,0.3685,0.9832,0.0087
41,205,Linear Regression,148.106,12.9542,12.1582,0.5325,9.6201,0.5412,0.5137,0.0651
41,205,Random Forest,9.6829,7.602,2.9115,1.0983,1.9644,0.5186,0.9691,0.0227
41,205,MLP,12.3613,10.4801,3.2464,1.35,2.3965,1.094,0.96,0.0327
40,200,Linear Regression,276.6522,82.51,16.4671,2.3422,12.1518,1.5166,0.0537,0.2192
40,200,Random Forest,8.0256,3.3873,2.7723,0.5829,1.8579,0.2674,0.9714,0.0141
40,200,MLP,7.2136,5.3003,2.5075,0.9623,1.9444,0.7834,0.9739,0.0219
39,195,Linear Regression,275.6084,57.9935,16.5008,1.8252,12.8532,1.1524,0.0389,0.2141
39,195,Random Forest,9.0971,1.3215,3.0085,0.2142,2.0504,0.1387,0.9682,0.0059
39,195,MLP,197.3507,190.0714,11.622,7.8917,8.5961,5.8798,0.3444,0.6193
38,190,Linear Regression,355.4253,132.6171,18.4613,3.8215,13.2966,2.644,-0.19,0.5192
38,190,Random Forest,9.226,5.072,2.9438,0.7483,1.9889,0.4082,0.9716,0.0125
38,190,MLP,13.5555,9.454,3.4533,1.2768,2.6713,1.1338,0.954,0.0339
37,185,Linear Regression,565.9887,182.1672,23.4319,4.1154,15.8038,2.4656,-0.8584,0.6292
37,185,Random Forest,11.6789,3.9112,3.3724,0.553,2.1921,0.2846,0.9616,0.015
37,185,MLP,52.2451,89.9805,5.1835,5.0375,3.9535,4.1235,0.8429,0.2657
36,180,Linear Regression,401.5878,211.9638,19.4292,4.9084,14.0183,2.8839,-0.3015,0.7228
36,180,Random Forest,6.6025,2.0882,2.5376,0.4035,1.7739,0.1882,0.9791,0.0058
36,180,MLP,9.3232,8.8225,2.7803,1.2621,2.1162,1.266,0.9699,0.0294
35,175,Linear Regression,296.2259,125.0191,16.865,3.4349,12.1717,2.0053,0.0497,0.4736
35,175,Random Forest,22.7261,13.4295,4.505,1.5593,2.8574,0.8774,0.9276,0.0448
35,175,MLP,121.9371,134.6128,8.9276,6.4989,6.8043,4.8461,0.6283,0.409
34,170,Linear Regression,256.7533,64.6086,15.8825,2.1212,12.0159,1.3523,0.0975,0.2589
34,170,Random Forest,15.1394,6.426,3.7897,0.882,2.522,0.397,0.9492,0.0204
34,170,MLP,45.9765,64.1833,5.4276,4.0642,4.1229,3.3397,0.8424,0.2286
33,165,Linear Regression,327.1959,85.4882,17.9127,2.516,13.8164,2.3493,-0.0056,0.2267
33,165,Random Forest,18.6335,10.1541,4.168,1.1232,2.722,0.7865,0.9446,0.0249
33,165,MLP,16.7824,13.3492,3.8065,1.5144,2.8786,1.2862,0.9499,0.0354
32,160,Linear Regression,572.8428,315.102,22.9398,6.827,15.3155,3.6676,-0.8636,1.2716
32,160,Random Forest,21.6803,17.1261,4.353,1.6528,2.7455,0.9901,0.9398,0.0392
32,160,MLP,15.4107,10.7996,3.5866,1.5959,2.4959,1.1263,0.9574,0.0277
31,155,Linear Regression,236.8528,111.7904,14.9738,3.5552,11.1257,2.2673,0.2689,0.3246
31,155,Random Forest,19.2941,10.3417,4.201,1.283,2.637,0.5356,0.9444,0.0261
31,155,MLP,112.4539,176.0712,8.1169,6.8242,6.4167,5.6054,0.7024,0.4376
30,150,Linear Regression,612.8334,276.643,24.2148,5.1456,15.3766,2.5095,-1.0,1.1611
30,150,Random Forest,14.7746,7.3618,3.7324,0.9185,2.5623,0.543,0.9554,0.0152
30,150,MLP,32.1728,38.1304,4.8957,2.8644,3.9272,2.2723,0.895,0.1248
29,145,Linear Regression,260.7478,45.0584,16.0824,1.4504,12.5355,0.8346,0.2409,0.197
29,145,Random Forest,17.4154,8.5217,4.0162,1.134,2.8255,0.6578,0.9516,0.0216
29,145,MLP,27.1271,21.6888,4.7234,2.1948,3.4459,1.8299,0.9189,0.0728
28,140,Linear Regression,421.1082,231.8981,19.8778,5.0974,14.1619,1.7984,-0.4077,1.0265
28,140,Random Forest,27.4185,23.17,4.8037,2.084,3.2836,1.2328,0.9057,0.0975
28,140,MLP,69.9309,63.7759,7.4384,3.8212,5.6873,2.7466,0.7588,0.2507
27,135,Linear Regression,307.6793,202.094,16.8183,4.9825,12.0727,2.466,-0.1494,0.9918
27,135,Random Forest,33.9363,28.9998,5.2167,2.5927,3.3353,1.5249,0.8827,0.1128
27,135,MLP,40.1072,43.9571,5.4583,3.2116,4.189,2.8005,0.8406,0.186
26,130,Linear Regression,360.4181,258.3602,17.8315,6.5157,13.2624,3.6405,-0.2736,1.1982
26,130,Random Forest,25.648,30.6126,4.3379,2.6135,3.1178,1.6927,0.9265,0.0838
26,130,MLP,11.3161,7.1606,3.2254,0.9553,2.4349,0.7969,0.9651,0.0206
25,125,Linear Regression,441.8601,179.7942,20.6038,4.1647,14.7388,2.5613,-0.6505,0.7767
