wavelengths,model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,MSE_mean,MSE_std
501,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
495,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
490,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
485,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
480,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
475,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
470,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
465,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
460,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
455,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
450,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
445,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
440,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
435,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
430,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
425,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
420,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
415,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
410,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
405,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
400,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
395,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
390,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
385,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
380,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
375,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
370,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
365,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
360,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
355,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
350,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
345,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
340,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
335,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
330,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
325,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
320,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
315,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
310,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
305,Analytical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
